tj,pers
Маркази таҳқиқоти фазоии Ҳинд дар Банголур ҳудуди,مرکز تحقیقات فضایی هند در بنگالور حدود
-милёрддулорӣ  ва як захираи изтирорӣ имзо карданд,میلیارد دلاری و یک ذخیره اضطراری امضا کرده اند
"мелодӣ нақше муҳим дошт, ба панҷ соли зиндон маҳкум кард",میلادی نقشی مهم داشت ، به پنج سال زندان محکوم کرد
"Ин барои мо муҳим аст, ки ин ваъда аст ё то охир пайгирӣ мешавад",این برای ما مهم است که این وعده است یا تا آخر پیگیری می‌شود
Яке аз намозгузорон ба Хабаргузории Фаронса гуфтааст,یکی از نمازگزاران به خبرگزاری فرانسه گفته است
ба иҷро гузошта ва қавл дод бозаргононро аз,به اجرا گذاشته و قول داد بازرگانان را از
ғулу занҷир бираҳонад,غل و زنجیر برهاند
октябр барои тасвиб ба порлумони он кишвар фиристода шуд,اکتبر برای تصویب به پارلمان آن کشور فرستاده شد
Сенотур Либерман гуфт,سناتور لیبرمن گفت
ҳамкории баландмуддати истротежики,همکاری بلند مدت استراتژیک
Марди либериёӣ дар асари ибтило ба ин беморӣ даргузашт,مرد لیبریایی در اثر ابتلای به این بیماری درگذشت
Гузоришҳои зидду нақиз аз шунида шудани садои,گزارش‌های ضد و نقیض از شنیده شدن صدای
инфиҷор,انفجار
"Арсен Аваков, вазири кишвари Укройн имрӯз",آرسن آواکوف وزیر کشور اوکراین امروز
фарвардин,فروردین
дар сафҳаи Фейсбуки худ навишт,در صفحه فیس‌بوک خود نوشت
тамоми воҳидҳои амниятии,تمام واحدهای امنیتی
Укройн дар ин амалиёт ширкат доранд,اوکراین در این عملیات شرکت دارند
"Ӯ ҳамчунин таъкид кард, ки Роберт Левинсун дар Эрон зиндонӣ нест",او همچنین تاکید کرد که رابرت لوینسون در ایران زندانی نیست
"октябр зери фишори физояндаи мардум, ки бо шиъори",اکتبر زیر فشار فزاینده مردم که با شعار
Мо халқ ҳастем,ما خلق هستیم
ғайриқобили қабул,غیرقابل‌قبول
Раиси маъорифи Балх гуфт,رئیس معارف بلخ گفت
Як чоҳи ташноб,یک چاه تشناب
туолет,توالت
муносиб,مناسب
-ро пеш хоҳад гирифт,را پیش خواهد گرفت
"гузаргоҳи марзӣ, аз ҷумла",گذرگاه مرزی ، از جمله
гузаргоҳ дар фурӯдгоҳҳо,گذرگاه در فرودگاهها
гузаргоҳ дар истгоҳҳои роҳи оҳан,گذرگاه در ایستگاههای راه آهن
Мо бояд бо ҳам ҳамоҳамоҳанг бошем,ما باید با هم هماهنگ باشیم
"Юсуф Надархонӣ, ки",یوسف ندرخانی که
"сол син дорад, дар",سال سن دارد ، در
Шаҳри Мориупул,شهر ماریوپول
ширкат дошт ва дар ҷанги шашрӯза бо аъроб дар,شرکت داشت و در جنگ شش روزه با اعراب در
як тайпро фармондеҳӣ мекард,یک تیپ را فرماندهی می‌کرد
иродаи мардум,اراده مردم
таваҷҷуҳ кунад,توجه کند
Омрико дар набард бо шӯришиён дар Афғонистон то ҳоло,آمریکا در نبرد با شورشیان در افغانستان تا حالا
низомии худро аз даст додааст,نظامی خود را از دست داده است
ба русҳо вогузор шуд,به روس‌ها واگذار شد
Ағлаби марокизи умдаи тиҷории шаҳри Кобул имрӯз таътил ҳастанд,اغلب مراکز عمده تجاری شهر کابل امروز تعطیل هستند
Дар ағлаби сохтмонҳои ниматамом нерӯҳои пулис мустақар шудаанд,در اغلب ساختمانهای نیمه تمام نیروهای پلیس مستقر شده‌اند
Сусиёл-демукротҳо аз соли,سوسیال دموکرات‌ها از سال
нотавонӣ дар кунтрули буҳрони Укройн,ناتوانی در کنترل بحران اوکراین
муттаҳам мекунанд,متهم می‌کنند
"Созмондиҳандагони ин роҳпаймоӣ гуфтанд, ки ҳудуди",سازماندهندگان این راهپیمایی گفتند که حدود
"Дар шароити кунунӣ истифода аз паҳподҳое, ки камтар аз",در شرایط کنونی ، استفاده از پهپادهایی که کمتر از
"Оқои Абдуллоҳ хостори таълиқи вазоифи Ҳаниф Атмар, вазири дохила",آقای عبدالله خواستار تعلیق وظایف حنیف اتمر ، وزیر داخله
кишвар,کشور
"Форуқ Вардак, вазири маъориф",فاروق وردک ، وزیر معارف
НАТО ҳамчунин дар эъломияе гуфтааст,ناتو همچنین در اعلامیه‌ای گفته است
нақлу интиқолоти таҳриккунандаи нерӯҳои Русия,نقل و انتقالات تحریک‌‌کننده نیروهای روسیه
дар наздикии марзи Укройн ибрози нигаронӣ кард,در نزدیکی مرز اوکراین ابراز نگرانی کرد
Паҳподи Каррор,پهپاد کرار
"Оқои Убомо гуфт, ки ҳанӯз тавофуқе бо Эрон ба даст наомада",آقای اوباما گفت که هنوز توافقی با ایران به دست نیامده
Башор Асад,بشار اسد
Мо таҷрибаи хеле хубе аз фаъолияти зерзаминӣ дорем ва барои,ما تجربه خیلی خوبی از فعالیت زیرزمینی داریم و برای
сол нуфузпазир мондаем,سال نفوذناپذیر مانده‌ایم
Муътаризони салафӣ дар Тунис ба муҳтавои,معترضان سلفی در تونس به محتوای
куфромези,کفرآمیز
бахшҳое аз ин филм эътироз доштаанд,بخش‌هایی از این فیلم اعتراض داشته اند
Ин бидеҳи ба ҳудуди,این بدهی به حدود
милиёрд дулор мерасад,میلیارد دلار می‌رسد
Кубо яке аз нуқоти меҳварии давраи ҷанги сард буд,کوبا یکی از نقاط محوری دوره جنگ سرد بود
"Буҳрон бар сари истиқрори мушакҳои Шӯравӣ дар Кубо, ки соли",بحران بر سر استقرار موشک‌های شوروی در کوبا که سال
Хонум Клинтун идома дод,خانم کلینتون ادامه داد
Аз Эрон мехоҳем ҳама зиндониёни сиёсӣ ва ақаллиятҳоро озод кунд,از ایران می‌خواهیم همه زندانیان سیاسی و اقلیت‌ها را آزاد کند
Як мақоми тунисӣ ба Хабаргузории Фаронса гуфт,یک مقام تونسی به خبرگزاری فرانسه گفت
Шукрӣ Ғоним Либиро тарк кардааст,شکری غانم لیبی را ترک کرده است
"Масеҳиён, ки ҳудуди",مسیحیان که حدود
Покистон дар соли,پاکستان در سال
Шӯрои Ҳуқуқи Башари Созмони Милал дар соли,شورای حقوق‌بشر سازمان ملل در سال
ҷонишини Кумиссиюни Ҳуқуқи Башари ин созмон шуд,جانشین کمیسیون حقوق‌بشر این سازمان شد
ҳазор бушка дар рӯз расидааст,هزار بشکه در روز رسیده است
Вале вазни сиёсии ин эътилоф чи қадр аст,ولی وزن سیاسی این ائتلاف چقدر است
"Системи қаторҳои шаҳрӣ, ки рӯи замин дар ҳаракат ҳастанд",سیستم قطارهای شهری که روی زمین در حرکت هستند
трамвай,ترم
Оқои Сомерз,آقای سامرز
Дар ин видию шибҳнизомиёни Доъиш сари буридаи имдодгари омрикоӣ ва,در این ویدئو شبه‌نظامیان داعش سر بریده امدادگر آمریکایی و
Суръати бодҳои тӯфони Ойрин рӯзи якшанбе ба,سرعت بادهای توفان آیرین روز یکشنبه به
-килуметр дар соъат коҳиш ёфт,کلیومتر در ساعت کاهش یافت
шӯришӣ кушта ва ҳудуди,شورشی کشته و حدود
Яке аз нависандагони ин веблог навиштааст,یکی از نویسندگان این وبلاگ نوشته است
Исмам Еленаст ва дар Маскав зиндагӣ мекунам,اسمم الناست و در مسکو زندگی می‌کنم
Додгоҳи олии Колифурниё июни соли гузшта ин қонунро таъйид кард,دادگاه عالی کالیفرنیا ژوئن سال گذشته این قانون را تایید کرد
ақим кардани мардон,عقیم کردن مردان
-милюндулорӣ бархӯрдор хоҳанд буд,میلیون دلاری برخوردار خواهد بود
Вале бо ин вуҷуд ӯ мегӯяд,ولی با این وجود او می‌گوید
"Ҳаракате, ки раъйҳои бисёре пушти сари он аст",حرکتی که رای‌های بسیاری پشت سر آن است
Савол ин аст ки чӣ қадр ин шурако ҳозир ба канор омадан бо ӯ ҳастанд,سوال اینجاست که چقدر این شرکا حاضر به کنار آمدن با او هستند
Яке аз намунаҳои зикршуда як зиндони,یکی از نمونه‌های ذکر‌شده‌یک زندان
"Аммо ман мехоҳам шумо бидонед, ки чашмони мо низ боз аст",اما من می‌خواهم شما بدانید که چشمان ما نیز باز است
Вай дар ҳошияи Маҷмаъи Умумии Созмони Милал гуфт,وی در حاشیه مجمع عمومی سازمان ملل گفت
"Ӯ гуфт, ки давлати Укройн бояд бо мухолифонаш мусолиҳа кунад",او گفت که دولت اوکراین باید با مخالفانش مصالحه کند
Дар мавриди шарҳи моҷаро гузоришҳои зидду нақизе мавҷуд аст,در مورد شرح ماجرا گزارشهای ضد و نقیضی موجود است
Он корикотурҳоро қаблан Шорлӣ Ебду дар соли,آن کاریکاتورها را قبلا شارلی ابدو در سال
чоп карда буд,چاپ کرده بود
Новгони Дарёи Сиёҳи Русия дар ин шибҳҷазира мустақар аст,ناوگان دریای سیاه روسیه در این شبه جزیره مستقر است
"Нахуствазири Бритониё ҳушдор дод, ки",نخست‌وزیر بریتانیا هشدار داد که
ошӯбгарон ва ғоратгарон,آشوبگران و غارتگران
ҷилавгирӣ нахоҳад кард,جلوگیری نخواهد کرد
Кохи Сафед ҳанӯз ба ин ҳушдор вокуниш нишон надодааст,کاخ سفید هنوز به این هشدار واکنش نشان نداده است
Шиюъи эбуло то кунун мунҷар ба марги беш аз,شیوع ابولا تاکنون منجر به مرگ بیش از
охирин корзори салибиюн,آخرین کارزار صلیبیون
ёд кардааст,یاد کرده است
"Амалиёти амниятии давлати Киев, барои Маскав нигаронкунанда аст",عملیات امنیتی دولت کیف ، برای مسکو نگران‌کننده است
Ба гуфтаи вазири додгустарӣ,به گفته وزیر دادگستری
Ин баёния меафзояд,این بیانیه می‌افزاید
Ин ҳамла дар наздикии пойгоҳи НОТУ дар Қандаҳор рух дод,این حمله در نزدیکی پایگاه ناتو در قندهار رخ داد
Нахуствазири Русия гуфтааст,نخست‌وزیر روسیه گفته است
хурдод,خرداد
Ҳилорӣ Клинтун борҳо ба Эрон дар мавриди таҳримҳои,هیلاری کلینتون بارها به ایران در مورد تحریم های
фалаҷкунанда,فلج کننده
-и байналмилалӣ алайҳи ин кишвар ҳушдор додааст,بین‌المللی علیه این کشور هشدار داده است
фозилоби ин шаҳр ба берун бикашанд,فاضلاب این شهر به بیرون بکشند
То кунун ҳудуди,تاکنون حدود
"Оқои Эбут гуфтааст, ки ин таҳдид нишон медиҳад",آقای ابت گفته است که این تهدید نشان می‌دهد
Давлати Укройн аксҳоро барои таъйиди иддаъоҳояш мунташир карда,دولت اوکراین عکس‌ها را برای تایید ادعاهایش منتشر کرده
Аммо муҳимтарин омил озор ва азияти ҷинсии занон дар Миср аст,اما مهم‌ترین عامل ، آزار و اذیت جنسی زنان در مصر است
Ҳанӯз ҷузъиёти чандоне аз ин ҷаласа мунташир нашудааст,هنوز جزئیات چندانی از این جلسه منتشر‌نشده‌است
"Оқои Чалабӣ мегӯяд, ки ҷунбиши салафии ӯ аҳдофи мушобеҳе дорад",آقای چلبی می‌گوید که جنبش سلفی او اهداف مشابهی دارد
Ҳар ҳукумате ғайр аз ин ҳукумат куфр аст ва бояд сарнагун шавад,هر حکومتی غیر از این حکومت کفر است و باید سرنگون شود
Коҳиши рӯзи гузашта бештарин коҳиш дар нархи баробарии рубл аз соли,کاهش روز گذشته بیش‌ترین کاهش در نرخ برابری روبل از سال
ривоят мекард,روایت می‌کرد
Рафтори пулис боъис шуд ҳазорон нафари дигар ба таҷаммуъ бипайванданд,رفتار پلیس باعث شد هزاران نفر دیگر به تجمع بپیوندند
Пулис баъд аз он аз дахолат дар кунтрули муътаризон худдорӣ кард,پلیس بعد از آن پلیس از دخالت در کنترل معترضان خودداری کرد
"Бинёмин Нетонёҳу шаби гузашта қавл дод, ки дар",بنیامین نتانیاهو ، شب گذشته قول داد که در
набард барои Урушалим,نبرد برای اورشلیم
"пирӯз шавад ва афзуд, ки",پیروز شود و افزود که
Оқои Сисӣ бо такрори шиъори инқилоби,آقای سیسی با تکرار شعارهای انقلاب
"Миср, ки Ҳуснӣ Муборакро аз қудрат сарнагун кард, гуфтааст ба дунболи",مصر که حسنی مبارک را از قدرت سرنگون کرد گفته است به دنبال
озодӣ,آزادی
адолати иҷтимоъӣ,عدالت اجتماعی
дар Миср аст,در مصر است
Асноди молии мунташиршуда дар соли,اسناد مالی منتشر‌شده‌در سال
-сола аз шаҳри Блекфут дар ҷануби иёлати Ойдоҳу ба Ҳойден омада буд,ساله از شهر بلک‌فوت در جنوب ایالت آیداهو به هایدن آمده بود
мудохилаи ғайриқобили қабул дар умури дохилӣ,مداخله غیرقابل‌قبول در امور داخلی
"Илова бар Афғонистон, Покистон бо таваҷҷуҳ ба",علاوه بر افغانستان ، پاکستان با توجه به
болотарин мизони қатлҳои номусӣ ва издивоҷҳои зери синни қонунӣ,بالاترین میزان قتل‌های ناموسی و ازدواج‌های زیر سن قانونی
дар ин феҳрист қарор гирифтааст,در این فهرست قرار گرفته است
"Ӯ ҳамзамон таъкид кард, ки дар роҳи расидан ба ин ҳадаф",او همزمان تاکید کرد که در راه رسیدن به این هدف
диплумосӣ,دیپلماسی
Ҳамаи мо дар мубориза бо эбуло масъулият дорем,همه ما در مبارزه با ابولا مسئولیت داریم
дар фасоди давлатӣ муҷрим шинохта шуд,در فساد دولتی مجرم شناخته شد
Ӯ ҳамчунин ба эҳтимоли тамдиди тавофуқи Женев ишора кард,او همچنین به احتمال تمدید توافق ژنو اشاره کرد
милюн бушка дар рӯз афзоиш диҳад,میلیون بشکه در روز افزایش دهد
"Панҷ зиндонии афғон сипас ба Дуҳа, пойтахти Қатар, эъзом шуданд",پنج زندانی افغان سپس به دوحه ، پایتخت قطر اعزام شدند
Муҷозоти ҷойгузини хадамоти иҷтимоии иҷборӣ ҳабси хонагӣ буд,مجازات جایگزین خدمات اجتماعی اجباری ، حبس خانگی بود
Бархе бо таъхир анҷом мешаванд ва ҳудуди,برخی با تاخیر انجام می‌شوند و حدود
парвоз ҳам лағв шудаанд,پرواز هم لغو‌شده‌اند
Нерӯҳои омрикойӣ дар соли,نیروهای آمریکایی در سال
шиъору фарёди марг бар мунофиқи  мардумро,شعار و فریاد مرگ بر منافق مردم
Ҳаракати эътирозии мавсум ба “Баҳори арабӣ” ибтидои соли,حرکت اعتراضی موسوم به بهار عربی ابتدای سال
Ба гуфтаи онон иқдоми нерӯҳои бритониёӣ машмули таърифи,به گفته آنان ، اقدام نیروهای بریتانیایی مشمول تعریف
боздошт ва ҳабси ғайриқонунӣ,بازداشت و حبس غیرقانونی
Шиъиёни Покистон ҳудуди,شیعیان پاکستان حدود
"хадама, таҷҳизот ва манобеъи дигарро",خدمه ، تجهیزات و منابع دیگر
Нерӯҳои Байналмилалии Кумаки Амниятӣ,نیروهای بین‌المللی کمک امنیتی
қарор диҳанд,قرار دهند
Осия Абдуллоҳ гуфт,آسیه عبدالله گفت
Боқӣ ҷаҳон дар мавриди ин қатли омми қарибулвуқӯъ сукут кардааст,باقی جهان در مورد این قتل عام قریب الوقوع سکوت کرده است
-ро мавриди баррасии ҷиддӣ қарор додааст,را مورد بررسی جدی قرار داده است
Ин хабар ҳанӯз таъйид нашудааст,این خبر هنوز تایید‌نشده‌است
"Баъзе манобеъ гузориш додаанд, ки",بعضی منابع گزارش داده‌اند
"Оқои Ҷабурӣ, ки намояндаи Диёла дар маҷлис аст, бо раъйи",آقای جبوری که نماینده دیاله در مجلس است ، با رای
нафар аз намояндагон интихоб шуд,نفر از نمایندگان انتخاب شد
Оқои Нетонёҳу гуфт нигаронии Исроил ин аст ки,آقای نتانیاهو گفت نگرانی اسرائیل این است که
чӣ силоҳе дар дасти кадом шӯришиён бошад,چه سلاحی در دست کدام شورشیان باشد
Ман чунин дархостеро матраҳ накардаам,من چنین درخواستی را مطرح نکرده ام
"хоҳад буд, ки қарор аст дар моҳи июни оянда дар Сучӣ баргузор шавад",خواهد‌بود که قرار است در ماه ژوئن آینده در سوچی برگزار شود
Авомили дигар дар ҷойгоҳи баъдӣ ҳастанд ва аҳаммияти камтаре доранд,عوامل دیگر در جایگاه بعدی هستند و اهمیت کمتری دارند
Оқои Хоминаӣ гуфт,آقای خامنه‌ای گفت
"нафар аз пайкорҷӯёни ин гурӯҳ, аз ҷумла фармондеҳони он кушта шудаанд",نفر از پیکارجویان این گروه از جمله فرماندهان آن کشته شده‌اند
худ меъёри он бошанд,خود معیار آن باشند
мардумсолории воқеъӣ ва ҳақиқӣ мубориза кунанд,مردم سالاری واقعی و حقیقی مبارزه کنند
"Ширкати ваколати Усен Эл-эл-сӣ, ки барои шокиён кор мекунад, навишт",شرکت وکالت اوسن ال ال سی که برای شاکیان کار می‌کند نوشت
Ин афрод тайи шаби гузашта дар ҷараёни чанд амалиёт дастгир шуданд,این افراد طی شب گذشته در جریان چند عملیات دستگیر شدند
Вазири хориҷаи Эрон дар конфаронси хабарии поёнии ин музокирот гуфт,وزیر خارجه ایران در کنفرانس خبری پایانی این مذاکرات گفت
Маъюс нестам,مایوس نیستم
Ихтилофҳо табиъӣ аст,اختلاف‌ها طبیعی است
Ин устоди улуми сиёсӣ муътақид аст ба ин тартиб,این استاد علوم سیاسی معتقد است به این ترتیب
лағви комил,لغو کامل
таълиқи,تعلیق
сонтрифюж,سانتریفیوژ
Эрон таъйин кунанд,ایران تعیین کنند
"Сунниҳо давлати Нурӣ Моликиро муттаҳам мекунанд, ки ҳуқуқи онҳоро",سنی‌ها دولت نوری مالکی را متهم می‌کنند که حقوق آن‌ها را
поймол,پایمال
мекунанд,می‌کنند
"Иттиҳоме, ки давлат намепазирад",اتهامی که دولت نمی‌پذیرد
Дар ҳамон рӯз ва ҳамчунин,در همان روز و همچنین
"август нооромӣ дар шаҳри Суэз, дар",اوت ، ناآرامی در شهر سوئز در
"килуметрии шарқи Қоҳира, беш аз",کیلومتری شرق قاهره ، بیش از
кушта барҷо гузошт,کشته بر جا گذاشت
ишғол,اشغال
Нафти хоми Омрико ҳам бо коҳиши,نفت خام آمریکا هم با کاهشی
сентӣ,سنتی
"сент муъомила шуда, ки камтарин ҳад дар чаҳор соли ахир аст",سنت معامله‌شده‌که کمترین حد در چهار سال اخیر است
"Ҷулиё Персун, мудири сервиси махфии Омрико",جولیا پیرسون ، مدیر سرویس مخفی آمریکا
горди ҳифозати раёсати ҷумҳурӣ,گارد حفاظت ریاست جمهوری
Тахмин зада мешавад беш аз,تخمین زده می‌شود بیش از
"Оморҳои расмӣ нишон медиҳад, ки фақат дар моҳи октябр",آمارهای رسمی نشان می‌دهد که فقط در ماه اکتبر
нафар дар хушунатҳое дар саросари Ироқ кушта шудаанд,نفر در خشونت‌هایی در سراسر عراق کشته شده‌اند
Кормелито Ҷатр аз Омрико дар,کارملیتا جتر از آمریکا در
-солагӣ низ берақиб буд,سالگی نیز بی‌رقیب بود
Ӯ ҳамчун ду давраи гузашта медоли тилоро ба кишвараш бурд,او همچون دو دوره‌ گذشته مدال طلا را به کشورش برد
Ӯ дар он нутқ гуфт гурӯҳи Давлати Исломӣ,او در آن نطق گفت گروه دولت اسلامی
Пулиси Туркия дар амалиёте шабона ҳаддиақал,پلیس ترکیه در عملیاتی شبانه حداقل
нафар аз мухолифони давлати Раҷаб Таййиб Эрдуғонро боздошт кардааст,نفر از مخالفان دولت رجب طیب اردوغان را بازداشت کرده است
Давлати Исроил бо озодии,دولت اسرائیل با آزادی
моҳи оянда озод мешаванд,ماه آینده آزاد می‌شوند
Вай дар идомаи суханони худ гуфт,وی در ادامه سخنان خود گفت
Яманро ба ҳоли худ бигзоред; дигар кофӣ аст,یمن را به حال خود بگذارید ، دیگر کافی است
-солаи раёсаташ бар Сандуқи Байналмилалии Пул дар соли,ساله ریاستش بر صندوق بین‌المللی پول در سال
Оқои Карзай гуфт,آقای کرزی گفت
Ояндаи сарзаминҳои мо дар гарави ин ҳамгароӣ аст,آینده سرزمین‌های ما در گرو این همگرایی هاست
Ба гузориши хабаргузории донишҷӯёни Эрон,به گزارش خبرگزاری دانشجویان ایران
ИСНО,ایسنا
ӯ гуфт,او گفت
"Созмонидиҳандагон умедвор буданд, ки то",سازمان‌دهندگان امیدوار‌بودند که تا
ҳазор нафар барои маҳкум кардани,هزار نفر برای محکوم کردن
сиёсати пархошгаронаи,سیاست پرخاشگرانه
Русия дар ин тазоҳурот ширкат кунанд,روسیه در این تظاهرات شرکت کنند
Чин бузургтарин талабкори хориҷии Омрико ба шумор меравад,چین بزرگترین طلبکار خارجی آمریکا به شمار می‌رود
"Пештар муъовини нахуствазири Бритониё эълом карда буд, баъзе аз",پیشتر معاون نخست‌وزیر بریتانیا اعلام کرده‌بود بعضی از
осебпазиртарин,آسیب‌پذیرترین
паноҳҷӯёни сурӣ ба таври муваққат дар Бритониё искон дода мешаванд,پناهجویان سوری به‌طور موقت در بریتانیا اسکان داده می‌شوند
иҷтинобнопазир,اجتناب‌ناپذیر
Пештар ҳам сухангӯйи оқои Мансур ба хабарнигорон гуфта буд,پیش‌تر هم سخنگوی آقای منصور به خبرنگاران گفته بود
фишори хориҷӣ,فشار خارجی
бар давлати феълии Миср,بر دولت فعلی مصر
аз меъёрҳои байналмилалӣ фаротар рафтааст,از معیارهای بین‌المللی فراتر رفته است
Нерӯҳои бритониёӣ дар набарди зиди ҳаросафганӣ дар Афғонистон,نیروهای بریتانیایی در نبرد ضد هراس افگنی در افغانستان
сарбоз талафот додаанд,سرباز تلفات داده اند
фарзанди ин кишвар буда ва мо ва шумо ӯро ҳимояту таъйид мекунем,فرزند این کشور بوده و ما و شما او را حمایت و تائید می‌کنیم
нофармонии мадании тамом айёр,نافرمانی مدنی تمام‌عیار
хоҳанд кард,خواهند کرد
Наталя Горлова,ناتالیا گورلووا
Поп Бенедикти кунунӣ,پاپ بندیکت کنونی
масъулияти онро бар уҳда доштааст,مسئولیت آن را بر عهده داشته است
соъат ба маркази шаҳр бирасанд,ساعت به مرکز شهر برسند
Ин мақоми омрикоӣ дар бораи истирдоди оқои Ардабилӣ гуфт,این مقام آمریکایی درباره استرداد آقای اردبیلی گفت
нафар ва маҷрӯҳ шудани шуморе дигар мунҷар шуд,نفر و مجروح شدن شماری دیگر منجر شد
Ҳеликуптерҳои тӯпдор низ бар фарози ин шаҳр ба парвоз даромадаанд,هلیکوپترهای توپدار نیز بر فراز این شهر به پرواز در آمده‌اند
садоқат медоштанд,صداقت می‌داشتند
дар Афғонистон сулҳу амният барқарор шуда буд,در افغانستان صلح و امنیت برقرار‌شده‌بود
"Бар асоси оморҳои мунташиршуда, танҳо дар соли ҷории мелодӣ беш аз",براساس آمارهای منتشر‌شده‌، تنها در سال جاری میلادی بیش از
хонаи ҷадид дар шаҳракҳои шарқи Байтулмуқаддас бино мекунад,خانه جدید در شهرک‌های شرق بیت‌المقدس بنا می‌کند
Ин дар ҳоле аст ки як гурӯҳи мудофеъи ҳуқуқи уйғурҳо,این در حالی است که یک گروه مدافع حقوق اویغورها
мегӯяд пулиси Чин бар як таҷаммуъи эътирозии мардум оташ гушуд,می‌گوید پلیس چین بر یک تجمع اعتراضی مردم آتش گشود
Кор дар ғурбат сахтиҳоеро дорад,کار در غربت سختی‌هایش را دارد
тақрибан номумкин,تقریبا ناممکن
"ёд меукнанд, масъули бумбгузорӣ донистаанд",یاد می‌کنند مسئول بمب‌گذاری دانسته اند
аносури ҷинояткор,عناصر جنایتکار
бо нуфуз ба суфуфи онон ба хушунат доман зананд,با نفوذ به صفوف آنان ، به خشونت دامن زنند
даҳ то бист соли дигар сохта мешаванд,ده تا بیست سال دیگر ساخته می‌شوند
Раиси ҷумҳури Омрико ҳамчунин аз тасмими,رییس‌جمهور آمریکا همچنین از تصمیم
кишвар барои ин ки,کشور برای اینکه
роҳнамои амнияти ҳастаӣ,راهنمای امنیت هسته‌ای
"-ро ба қавонини миллии худ бадал кунанд, истиқбол кард ва онро як",را به قوانین ملی خود بدل کنند استقبال کرد و آن را یک
тағйири асосӣ,تغییر اساسی
дар мубориза бо терурисми ҳастаӣ номид,در مبارزه با تروریسم هسته‌ای نامید
беэътимодии,بی‌اعتمادی
шаклгирифта аз соли,شکل گرفته از سال
"миёни ду кишвар номид, бояд ба мурури замон бартараф шавад",میان دو کشور نامید باید به مرور زمان برطرف شود
Пештар Бонки марказӣ ҳудуди,پیشتر ، بانک مرکزی حدود
Ҷайшуладл аз Эрон хоста дар изои озодии марзбонон,جیش‌العدل از ایران خواسته در ازای آزادی مرزبانان
узви зиндонии ин гурӯҳ,عضو زندانی این گروه
нафар аз шаҳрвандони суннимазҳаби зиндонӣ дар Эрон ва ҳамчунин,نفر از شهروندان سنی مذهب زندانی در ایران و همچنین
милёрд дулор кумакҳои байналмилалии дигарро ҳам дарёфт кунад,میلیارد دلار کمک‌های بین‌المللی دیگر را هم دریافت کند
Занҷонӣ ҳеч нуктае манфӣ бар муносибати Эрон бо Тоҷикистон надорад,زنجانی هیچ نکته‌ منفی بر مناسبات ایران با تاجیکستان ندارد
Сойти риёсати ҷумҳурии Тоҷикистон дар ин бора менивисад,سایت ریاست جمهوری تاجیکستان در این باره می‌نویسد
Ман ҳарчи дар тавон дорам барои тазмини ояндамон анҷом хоҳам дод,من هرچه در توان دارم برای تضمین آینده مان انجام خواهم داد
Ҷамшеди Доноифар,جمشید دانایی‌فر
-сола мутаваллиди устони Систону Балучистон аст,ساله ، متولد استان سیستان و بلوچستان است
"ҳазор ҳектор замин зери кишти маводи мухаддир буд, ки аз рекурди соли",هزار هکتار زمین زیر کشت مواد مخدر‌بود که از رکورد سال
"ҳазор ҳектор замин мерасид, бештар аст",هزار هکتار زمین می‌رسید ، بیشتر است
Дар ин гузориш омадааст,در این گزارش آمده است
Нахустин парвозҳои амалиётии НОТУ дар Либӣ дар,نخستین پروازهای عملیاتی ناتو در لیبی در
буҳрони қобили пешгирӣ,بحران قابل پیشگیری
дар ҳаракат аст,در حرکت است
Созандаи ин паҳпод ширкати,سازنده این پهپادها شرکت
Елбит системз,البیت سیستمز
Бар асоси эъломи вазорати додгустарии Омрико ин,براساس اعلام وزارت دادگستری آمریکا ، این
ба шумор меравад,به شمار می‌رود
Расонаҳои чинӣ мегӯянд,رسانه‌های چینی می‌گویند
табаҳкорон,تبهکاران
пеш аз кушта шудан,پیش از کشته شدن
нафарро кушта буданд,نفر را کشته بودند
ҳазор дулори Конодо эъто мешавад,هزار دلار کانادا اعطا می‌شود
Ин раҳбари Алқоида дар баёнияе дар соли,این رهبر القاعده در بیانیه‌ای در سال
"мелодӣ раҳбарони Ӯзбакистон, Тоҷикистон ва Қирғизистонро ба",میلادی رهبران ازبکستان ، تاجیکستان و قرقیزستان را به
таъқибу терур ва фишору тазйиқи мусалмонон,تعقیب ، ترور و فشار و تضییق مسلمانان
муҷозот,مجازات
таҳдид кард,تهدید کرد
доштанд,داشتند
Садҳо муътариз ҳамчунон дар хиёбонҳо чодар задаанд,صد‌ها معترض همچنان در خیابان‌ها چادر زده‌اند
нафар дар асари хушунатҳо дар Банглодеш ҷони худро аз даст додаанд,نفر در اثر خشونت‌ها در بنگلادش جان خود را از دست داده‌اند
Инфиҷори бумб ҳини гуфтугӯ,انفجار بمب حین گفتگو
"Гузориш шудааст, ки яке аз кушташудагон як маъмури наҷоти",گزارش‌شده‌است که یکی از کشته شدگان یک مامور نجات
"Масъулони гумруки вилояти Нимрӯз дар ғарби Афғонистон мегӯянд, ки",مسئولان گمرک ولایت نیمروز در غرب افغانستان می‌گویند که
Дар ин қатъномаи намояндагон аз давлати Омрико хостаанд,در این قطعنامه نمایندگان از دولت آمریکا خواستند
дар маркази шаҳри Тунис садди роҳи онҳо шудааст,در مرکز شهر تونس سد راه آن‌ها‌شده‌است
нерӯи низомӣ бо таҷҳизоти сангин ба шарқи Укройн фиристода ва ҳудуди,نیروی نظامی با تجهیزات سنگین به شرق اوکراین فرستاده و حدود
