tj,pers
гармхез,گرم‌خیز
гармхезӣ,گرم‌خیزی
гармхун,گرم‌خون
гармхунӣ,گرم‌خونی
гармхушк,گرم‌خشک
гармхӯ,گرم‌خو
гармхӯӣ,گرم‌خوئی
гармчашма,گرم‌چشمه
гармчеҳра,گرم‌چهره
гармҷӯшӣ,گرم‌جوشی
гармшавӣ,گرم‌شوی
гармшикамӣ,گرم‌شکمی
гарнизон,گر‌نیزان
гарнизонӣ,گرنی‌زانی
гарнитур,گرنی‌تور
гаронборона,گران‌بارانه
гаронгӯш,گران‌گوش
гаронгӯшӣ,گران‌گوشی
гарондаст,گران‌دست
гарондастӣ,گران‌دستی
гаронмоягӣ,گران‌مایگی
гароннарх,گران‌نرخ
гаронрав,گران‌رو
гаронрикоб,گران‌رکاب
гаронрикобӣ,گران‌رکابی
гаронсайр,گران‌سیر
гаронсар,گران‌سر
гаронсоя,گران‌سایه
гаронтамкин,گران‌تمکین
гаронхез,گران‌خیز
гаронхоб,گران‌خواب
гаронхор,گران‌خوار
гаронҷон,گران‌جان
гаронҷонӣ,گران‌جانی
гаҳворабандон,گهواره‌بندان
гаҳворабахш,گهواره‌بخش
гаҳворапӯш,گهواره‌پوش
гаҳворапӯшак,گهواره‌پوشک
гаҳворасоз,گهواره‌ساز
гаҳвораҷунбон,گهواره‌جنبان
гаҳвораҷунбонӣ,گهواره‌جنبانی
гачбандӣ,گچ‌بندی
гаҷбур,گ‌جبر
гаҷбурӣ,گ‌جبری
гаҷгар,گ‌جگر
гаҷгарӣ,گ‌جگری
гашниза,گشنیز‌ه
гашничак,گشنی‌چک
гаштак,گشت‌ک
гаштасар,گشته‌سر
гаштзанӣ,گشت‌زنی
гаштирӯзӣ,گشت‌روزی
гаштор,گشت‌ار
гашторӣ,گشت‌اری
гвардия,گو‌ردیه
гевакаш,گیوه‌کش
гейзер,گی‌زیر
гелио,گل‌یا
гелиодастгоҳ,گلیا‌دستگاه
гелиомарказӣ,گلیا‌مرکزی
гелиометр,گلیا‌متر
генезис,گن‌زیس
генералӣ,گن‌رلی
генетика,گنتی‌که
генсозӣ,گ‌نسازی
геодезӣ,گیا‌دزی
геометрия,گیام‌تریه
геофизикӣ,گیا‌فیزیکی
гепатит,گی‌پتیت
гербарий,گربر‌یی
германий,گرم‌نیی
гесбофӣ,گیس‌بافی
гесубанд,گیسو‌بند
гесубурида,گیسو‌بریده
гетиафрӯз,گیتی‌افروز
гетибон,گیتی‌بان
гетидор,گیتی‌دار
гетинавард,گیتی‌نورد
гетинигор,گیتی‌نگار
гетиоро,گیتی‌آرا
гетипажӯҳ,گیتی‌پژوه
гетипаймо,گیتی‌پیما
гетипаноҳ,گیتی‌پناه
гетиситон,گیتی‌ستان
гетишинос,گیتی‌شناس
гигиенӣ,گیگ‌یینی
гигро,گیگ‌را
гигроскоп,گیگر‌اسکاپ
гидра,گ‌یدره
гидрат,گی‌درت
гидро,گی‌درا
гидроген,گیدر‌اگن
гидролиз,گیدر‌الیز
гиёбун,گ‌یابن
гиёдору,گیا‌دارو
гиёзор,گ‌یازار
гиёосо,گیا‌آسا
гиёхок,گیا‌خاک
гиёҳдармонӣ,گیاه‌درمانی
гиёҳзор,گیاه‌زار
гиёҳманд,گیاه‌مند
гиёҳнома,گیاه‌نامه
гиёҳоба,گیاه‌آبه
гиёҳпизишк,گیاه‌پزشک
гиёҳпизишкӣ,گیاه‌پزشکی
гиёҳхӯрд,گیاه‌خورد
гиёҳшинос,گیاه‌شناس
гизофгӯй,گزاف‌گوی
гилагузорӣ,گله‌گزاری
гилакунон,گله‌کنان
гиламанд,گل‌همند
гиламандона,گله‌مندانه
гиландуд,گل‌اندود
гилаомез,گله‌آمیز
гилбӯта,گل‌بوته
гилгин,گل‌گین
гилдор,گل‌دار
гилза,گیل‌زه
гилембоф,گلیم‌باف
гилембофӣ,گلیم‌بافی
гилемпора,گلیم‌پاره
гилемфурӯш,گلیم‌فروش
гилемфурӯшӣ,گلیم‌فروشی
гилкаш,گل‌کش
гилкашӣ,گل‌کشی
гилкор,گل‌کار
гилкорӣ,گل‌کاری
гилмола,گل‌ماله
гилмолӣ,گل‌مالی
гилмоя,گل‌مایه
гилнок,گل‌ناک
гилоба,گل‌ابه
гилоякунон,گلایه‌کنان
гилояомез,گلایه‌آمیز
гилтобӣ,گل‌تابی
гилфарш,گل‌فر
гилхок,گل‌خاک
гилхора,گل‌خاره
гимназия,گیم‌نزیه
гирдапаз,گرده‌پز
гирдарӯ,گرد‌هرو
гирдасӯҳон,گرده‌سوهان
гирдбагирдон,گرد‌بگردان
гирдбода,گرد‌باده
гирдбодмонанд,گردباد‌مانند
гирдбодосо,گردباد‌آسا
гирдболиш,گرد‌بالش
гирдбон,گرد‌بان
гирдбоф,گرد‌باف
гирдбур,گرد‌بر
гирдгард,گرد‌گرد
гирдгарданда,گرد‌گردنده
гирдгардон,گرد‌گردان
гирдгоҳ,گرد‌گاه
гирддандон,گرد‌دندان
гирдмон,گرد‌مان
гирдобваш,گرداب‌وش
гирдомада,گرد‌آمده
гирдпеч,گرد‌پیچ
гирдпой,گرد‌پای
гирдрон,گرد‌ران
гирдрӯй,گرد‌روی
гирдсӯз,گرد‌سوز
гирду,گرد‌و
гирдубозӣ,گرد‌وبازی
гирдхон,گرد‌خان
гиребондарида,گریبان‌دریده
гиребонӣ,گری‌بانی
гиребончок,گریبان‌چاک
гиребоняла,گریبان‌یله
гиревоз,گری‌واز
гиреҳбанд,گره‌بند
гиреҳбаста,گره‌بسته
гиреҳгир,گره‌گیر
гиреҳгоҳ,گره‌گاه
гиреҳдор,گره‌دار
гиреҳзада,گره‌زده
гиреҳзанӣ,گره‌زنی
гиреҳкушо,گره‌کشا
гиреҳкушоӣ,گره‌کشایی
гиреҳмӯй,یگر‌همو
гиреҳпеч,گره‌پیچ
гиреҳпешонӣ,گره‌پیشانی
гирёнчак,گر‌یانچک
гирёнчакӣ,گریان‌چکی
гирифтазабон,گرفته‌زبان
гирифталаб,گرفته‌لب
гирифтугир,گرفتو‌گیر
гирифтумон,گرف‌تومان
гирондан,گران‌دن
гирудор,گرو‌دار
гиряангез,گریه‌انگیز
гирянда,گری‌نده
гиряовар,گریه‌آور
гиряолуд,گریه‌آلود
гиряомез,گریه‌آمیز
глобус,گلاب‌وس
говарса,گاو‌رسه
говбанд,گاو‌بند
говбоз,گاو‌باز
говбон,گاو‌بان
говбора,گاو‌باره
говгум,گاو‌گم
говгун,گاو‌گون
говгӯш,گاو‌گوش
говдил,گاو‌دل
говдум,گاو‌دم
говдӯш,گاو‌دوش
говдӯша,گاو‌دوشه
говёл,گاو‌یال
говзанбӯр,گاو‌زنبور
говзаҳра,گاو‌زهره
говзӯр,گاو‌زور
говзӯрӣ,گاو‌زوری
говигарӣ,گاو‌یگری
говизана,گاوی‌زنه
говкиса,گاو‌کیسه
говландӣ,یگ‌اولند
говмалах,گاو‌ملخ
говмаргӣ,گاو‌مرگی
говмирӣ,گاو‌میری
говмонанд,گاو‌مانند
говмоҳӣ,گاو‌ماهی
говора,گاو‌اره
говпайкар,گاو‌پیکر
говпараст,گاو‌پرست
говпарастӣ,گاو‌پرستی
говпоӣ,گاو‌پایی
говпой,گاو‌پای
говпӯст,گاو‌پوست
говравған,گاو‌روغن
говранг,گاو‌رنگ
говронӣ,گاو‌رانی
говрӯй,گاو‌روی
говсар,گاو‌سر
говсор,گاو‌سار
говтоз,گاو‌تاز
говтозӣ,گاو‌تازی
говхӯр,گاو‌خور
говчаронӣ,گاو‌چرانی
говчашм,گاو‌چشم
говчеҳр,گاو‌چهر
говҷаллоб,گاو‌جلاب
говҷаллобӣ,گاو‌جلابی
говҷигар,گاو‌جگر
говҷӯш,گاو‌جوش
говҷӯшӣ,گاو‌جوشی
гозур,گاز‌ور
голландӣ,گ‌الندی
гомшумор,گام‌شمار
готика,گاتی‌که
гоҳангон,گاه‌نگان
гоҳбор,گاه‌بار
гоҳвор,گاه‌وار
гоҳҷӯй,گاه‌جوی
гоҷигарӣ,گاج‌یگری
грамматика,گرم‌تیکه
грамматикӣ,گرم‌تیکی
грейдер,گری‌در
гроссмейстер,گراس‌میستر
гуволидан,گوا‌لیدن
гуворанда,گو‌ارنده
гуворандагӣ,گوار‌ندگی
гуворидан,گواری‌دن
гувориш,گو‌اریش
гудозвар,گ‌دازور
гудозида,گداز‌یده
гудозидан,گدا‌زیدن
гудозишгар,گداز‌شگر
гузаргаҳ,گذر‌گه
гузаронанда,گذران‌نده
гузаштагароӣ,گذشته‌گرایی
гузаштанӣ,گذشت‌نی
гузашткунанда,گذشت‌کننده
гузоридан,گزاری‌دن
гузоришгар,گزارش‌گر
гузоришдиҳӣ,گزارش‌دهی
гузоришнома,گزارش‌نامه
гулак,گل‌ک
гулангдон,گ‌لنگدان
гулбадан,گل‌بدن
гулбазм,گل‌بزم
гулбанд,گل‌بند
гулбандӣ,گل‌بندی
гулбарг,گل‌برگ
гулбаргрӯй,گلبرگ‌روی
гулбез,گل‌بیز
гулбиҳӣ,گل‌بهی
гулбоғ,گل‌باغ
гулбод,گل‌باد
гулбодом,گل‌بادام
гулбоз,گل‌باز
гулбом,گل‌بام
гулбон,گل‌بان
гулбонг,گل‌بانگ
гулбор,گل‌بار
гулбофт,گل‌بافت
гулбур,گل‌بر
гулбурӣ,گل‌بری
гулбутта,گل‌بوته
гулбӯй,ی‌گلبو
гулвожа,گل‌واژه
гулвом,گل‌وام
гулгашт,گل‌گشت
гулгуна,گل‌گونه
гулгунӣ,گل‌گونی
гулгункафан,گلگون‌کفن
гулгунқабо,گلگون‌قبا
гулгунрухсор,گلگون‌رخسار
гулгунсавор,گلگون‌سوار
гулғар,گل‌غر
гулдаст,گل‌دست
гулдаста,گل‌دسته
гулдом,گل‌دام
гулдор,گل‌دار
гулдӯз,گل‌دوز
гулдӯзӣ,گل‌دوزی
гулдӯст,گل‌دوست
гулзорбон,گلزار‌بان
гулкарам,گل‌کرم
гулкарда,گل‌کرده
гулкор,گل‌کار
гулкорӣ,گل‌کاری
гулқанд,گل‌قند
гулмахмал,گل‌مخمل
гулмех,گل‌میخ
гулмижа,گل‌مژه
гулмоҳӣ,گل‌ماهی
гулнақш,گل‌نقش
гулнам,گل‌نم
гулнасаб,گل‌نسب
гулнисор,گل‌نثار
гулнор,گل‌نار
гулноргун,گلن‌ارگون
гулнорӣ,گل‌ناری
гулобгар,گلاب‌گر
гулобгир,گلاب‌گیر
гулобгирӣ,گل‌ابگیری
гулобдон,گل‌ابدان
гулобзан,گلاب‌زن
гулобиранг,گلابی‌رنگ
гулобитоб,گلابی‌تاب
гулобпош,گلابی‌پاش
гулола,گل‌اله
гулоҷ,گل‌اج
гулпар,گل‌پر
гулпараст,گل‌پرست
гулпарастӣ,گل‌پرستی
гулпарвар,گل‌پرور
гулпарварӣ,گل‌پروری
гулпартоӣ,گلپر‌تایی
гулпечак,گل‌پیچک
гулпош,گل‌پاش
гулпошӣ,گل‌پاشی
гулпӯш,گل‌پوش
гулреза,گل‌ریزه
гулрӯй,ی‌گلرو
гулсанг,گل‌سنگ
гулсангшиносӣ,گلسنگ‌شناسی
гулсифат,گل‌صفت
гулӯ,گل‌و
гулӯафшонӣ,گلو‌افشانی
гулӯбанд,گل‌وبند
гулӯбанда,گلو‌بنده
гулӯбандагӣ,گلو‌بندگی
гулӯгирифта,گلو‌گرفته
гулӯгирифтагӣ,گلو‌گرفتگی
гулӯдард,گل‌ودرد
гулӯзиндонак,گلوزن‌دانک
гулӯлаандозӣ,گلوله‌اندازی
гулӯлаборон,گلوله‌باران
гулӯлазанӣ,گلوله‌زنی
гулӯлакамон,گلوله‌کمان
гулӯлапаронӣ,گلوله‌پرانی
гулӯлапора,گلوله‌پاره
гулӯларез,گلوله‌ریز
гулӯсӯз,گلو‌سوز
гулӯфишор,گل‌وفشار
гулфишон,گل‌فشان
гулфишонӣ,گل‌فشانی
гулфом,گل‌فام
гулфурӯш,گل‌فروش
гулфурӯшӣ,گل‌فروشی
гулханафрӯз,گلخن‌افروز
гулхангиронӣ,گلخن‌گرانی
гулханнишин,گلخن‌نشین
гулханнишинӣ,گلخن‌نشینی
гулханда,گل‌خنده
гулхантоб,گلخن‌تاب
гулхат,گل‌خط
гулхез,گل‌خیز
гулхӯрак,گل‌خورک
гулчанбар,گل‌چنبر
гулчеҳр,گل‌چهر
гулчеҳра,گل‌چهره
гулчин,گل‌چین
гулчинӣ,گل‌چینی
гулчой,گل‌چای
гулҷом,گل‌جام
гулҷӯш,گل‌جوش
гулшаноро,گلشن‌آرا
гулшансаро,گلشن‌سرا
гулъизор,گل‌عزار
гулъузор,گل‌عزار
гуманизм,گو‌منیزم
гумбуда,گم‌بوده
гумбудагӣ,گم‌بودگی
гумгаштагӣ,گم‌گشتگی
гумгум,گم‌گم
гумгурс,گم‌گرس
гумиздон,گم‌یزدان
гумкарда,گم‌کرده
гумоназанӣ,گمانه‌زنی
гумонбар,گمان‌بر
гумонбарӣ,گمان‌بری
гумондор,گمان‌دار
гумонзад,گمان‌زد
гумонзада,گمان‌زده
гумонидан,گمانی‌دن
гумонманд,گمان‌مند
гумонмандӣ,گمان‌مندی
гумономез,گمان‌آمیز
гумонпазир,گمان‌پذیر
гуморанда,گم‌ارنده
гумроҳшуда,گمراه‌شده
гумрукхона,گمرک‌خانه
гумус,گ‌موس
гумҷӯӣ,گم‌جویی
гунаҳкорона,گنهکاران‌ه
гунаҳсӯз,گنه‌سوز
гунбадмонанд,گنبد‌مانند
гунбадсарой,گنبد‌سرای
гундовар,گند‌آور
гуногунандешӣ,گوناگون‌اندیشی
гуногунбарг,گوناگون‌برگ
гуногунвақт,گوناگون‌وقت
гуногунзабон,گوناگون‌زبان
гуногунзабонӣ,گوناگون‌زبانی
гуногунзот,گوناگون‌ذات
гуногунихтисос,گوناگون‌اختصاص
гуногункасб,گوناگون‌کسب
гуногунқад,گوناگون‌قد
гуногунлафз,گوناگون‌لفظ
гуногунмавзӯъ,گوناگون‌موضوع
гуногунмазмун,گوناگون‌مضمون
гуногунмаъно,گوناگون‌معنا
гуногунмил,گوناگون‌میل
гуногуннасл,گوناگون‌نسل
гуногунном,گوناگون‌نام
гуногуновоз,گوناگون‌آواز
гуногуноҳанг,گوناگون‌آهنگ
гуногуноҳангӣ,گوناگون‌اهنگی
гуногунпаҳлу,گوناگون‌پهلو
гуногунранг,گوناگون‌رنگ
гуногунрутба,گوناگون‌رتبه
гуногунсавия,گوناگون‌سویه
гуногунсимо,گوناگون‌سیما
гуногунсол,گوناگون‌سال
гуногунсохт,گوناگون‌ساخت
гуногунсоҳа,گوناگون‌ساحه
гуногунтабақа,گوناگون‌طبقه
гуногунтоифа,گوناگون‌طایفه
гуногунтухм,گوناگون‌تخم
гуногунхол,گوناگون‌خال
гуногунҳаҷм,گوناگون‌حجم
гуногунҷинс,گوناگون‌جنس
гуногунҷинса,گوناگون‌جنسه
гуногуншакл,گوناگون‌شکل
гуноҳбахш,گناه‌بخش
гуноҳгорӣ,گناه‌گاری
гуноҳкорона,گناه‌کارانه
гуноҳолуд,گناه‌آلود
гунҷидан,گنجی‌دن
гунҷишкрӯзӣ,گنجشک‌روزی
гунҷоишдор,گنجایش‌دار
гунҷула,گنج‌وله
гуппизанӣ,گوپی‌زنی
гуппича,گو‌پیچه
гуппичӯб,گوپی‌چوب
гупсар,گو‌پسر
гупчак,گوپ‌چک
гурбабед,گربه‌بید
гурбавор,گربه‌وار
гурбагӣ,گر‌بگی
гурбагун,گربه‌گون
гурбадав,گربه‌دو
гурбадавак,گربه‌دوک
гурбалиқо,گربه‌لقا
гурбамонанд,گربه‌مانند
гурбамоҳӣ,گربه‌ماهی
гурбарав,گربه‌رو
гурбарӯй,گربه‌روی
гурбасон,گربه‌سان
гурбасонон,گربه‌سانان
гурбачашм,گربه‌چشم
гурбачашмӣ,گربه‌چشمی
гургбанд,گر‌گبند
гургбача,گرگ‌بچه
гургвор,گر‌گوار
гургдав,گرگ‌دو
гургдандон,گرگ‌دندان
гургзода,گرگ‌زاده
гургина,گر‌گینه
гургкирдор,گرگ‌کردار
гургманиш,گرگم‌نیش
гургмаст,گرگ‌مست
гургмизоҷ,گرگ‌مزاج
гургмонанд,گرگ‌مانند
гургошноӣ,گرگ‌آشنایی
гургоштӣ,گرگ‌آشتی
гургпо,گرگ‌پا
гурграбоӣ,گرگ‌ربایی
гургсаг,گرگ‌سگ
гургсират,گرگ‌سیرت
гургсифат,گرگ‌صفت
гургтабиат,گرگ‌طبیعت
гургхона,گرگ‌خانه
гурдагоҳ,گرده‌گاه
гурдакаф,گرده‌کف
гурдаолу,گرده‌آلو
гурдафкан,گرد‌افکن
гурдгир,گرد‌گیر
гурдзод,گرد‌زاد
гурдос,گرد‌اس
гурезагӣ,گریز‌گی
гурезанда,گری‌زنده
гурезгаҳ,گریز‌گه
гурезонӣ,گری‌زانی
гурезпой,ی‌گریزپا
гурехтангоҳ,گریخت‌نگاه
гурехтанӣ,گ‌ریختنی
гурмдор,گرم‌دار
гурмча,گرم‌چه
гуроза,گ‌رازه
гуроздандон,گراز‌دندان
гурозидан,گرا‌زیدن
гурозон,گر‌ازان
гурозсум,گراز‌سم
гурсина,گر‌سینه
гуруснамаргӣ,گرسنه‌مرگی
гуруснанишинӣ,گرسنه‌نشینی
гурусначашм,گرسنه‌چشم
гурусначашмӣ,گرسنه‌چشمی
гурӯҳбандӣ,گروه‌بندی
гурӯҳбоз,گروه‌باز
гурӯҳбозӣ,گروه‌بازی
гурӯҳогурӯҳ,گرو‌هاگروه
гурӯҳон,گروه‌ان
гусастадам,گسست‌هدم
гусастадил,گسسته‌دل
гусастаинон,گسسته‌عنان
гусасталиҷом,گسسته‌لجام
гусастанопазир,گسسته‌ناپذیر
гусастаравон,گسست‌هروان
гусастараг,گسسته‌رگ
гусастахирад,گسسته‌خرد
гуселкунанда,گسیل‌کننده
гусилидан,گسلی‌دن
гусистамиҳор,گسسته‌مهار
густарин,گستری‌ن
густохвор,گستاخ‌وار
густохдаст,گستاخ‌دست
густохкорӣ,گستاخ‌کاری
густувон,گ‌ستوان
гуфтанбоб,گفتن‌باب
гуфтор,گفت‌ار
гуфторӣ,گفت‌اری
гуфторфурӯш,گفتار‌فروش
гуфтугузор,گفتو‌گزار
гуфтугӯӣ,گفت‌وگویی
гуҳарафшон,گهر‌افشان
гуҳарафшонӣ,گهر‌افشانی
гуҳарбахш,گهر‌بخش
гуҳарбез,گهر‌بیز
гуҳарзо,گهر‌زا
гуҳаркаш,گهر‌کش
гуҳарнисор,گهر‌نثار
гуҳарпарвар,گهر‌پرور
гуҳарпок,گهر‌پاک
гуҳарпош,گهر‌پاش
гуҳарпӯш,گهر‌پوش
гуҳаррез,گهر‌ریز
гуҳарсанҷ,گهر‌سنج
гуҳарфишон,گهر‌فشان
гуҳарфурӯш,گهر‌فروش
гуҳархез,گهر‌خیز
гушнагадо,گشنه‌گدا
гушнамаст,گشنه‌مست
гушнамурда,گشنه‌مرده
гушнапурзӯр,گشنه‌پرزور
гушначашм,گشنه‌چشم
гушначашмӣ,گشنه‌چشمی
гушнгирӣ,گشنگی‌ری
гушосб,گشا‌سب
гӯгирдзанӣ,گوگرد‌زنی
гӯгирдчӯб,گوگرد‌چوب
гӯёндан,گویان‌دن
гӯйвор,گوی‌وار
гӯлахӣ,گول‌خی
гӯлгард,گ‌ولگرد
гӯлгир,گول‌گیر
гӯлгирӣ,گول‌گیری
гӯлзан,گول‌زن
гӯлнамо,گولن‌ما
гӯлхӯр,گول‌خور
гӯлхӯрда,گول‌خورده
гӯрасп,گور‌سپ
гӯрафканӣ,گور‌افکنی
гӯрбон,گو‌ربان
гӯргаҳ,گو‌رگه
гӯргиёҳ,گور‌گیاه
гӯргир,گور‌گیر
гӯрғулӣ,گور‌غلی
гӯрзо,گو‌رزا
гӯрзод,گور‌زاد
гӯрида,گو‌ریده
гӯрков,گور‌کاو
гӯрковак,گورک‌اوک
гӯрковӣ,گور‌کاوی
гӯрмонанд,گور‌مانند
гӯроба,گو‌رابه
гӯрпушта,گور‌پشته
гӯрсум,گو‌رسم
гӯрсӯхта,گور‌سخته
гӯрӯғлӣ,گورو‌غلی
гӯрчашм,گور‌چشم
гӯршикан,گور‌شکن
гӯсолабон,گوساله‌بان
гӯсолабонӣ,گوساله‌بانی
гӯсоламизоҷ,گوساله‌مزاج
гӯсолапараст,گوساله‌پرست
гӯсолапарастӣ,گوساله‌پرستی
гӯсолачашм,گوساله‌چشم
гӯсфандбон,گوسفند‌بان
гӯсфандбонӣ,گوسفند‌بانی
гӯсфандвор,گوسفند‌وار
гӯсфанддор,گوسفند‌دار
гӯсфандпарварӣ,گوسفند‌پروری
гӯсфандтарош,گوسفند‌تراش
гӯсфандтарошӣ,گوسفند‌تراشی
гӯсфандхона,گوسفند‌خانه
гӯсфандчаронӣ,گوسفند‌چرانی
гӯсфандҷаллоб,گوسفند‌جلاب
гӯсфандҷаллобӣ,گوسفند‌جلابی
гӯшагир,گوشه‌گیر
гӯшагирӣ,گوشه‌گیری
гӯшадор,گوش‌هدار
гӯшакаш,گوشه‌کش
гӯшакашӣ,گوشه‌کشی
гӯшанишин,گوشه‌نشین
гӯшанишинӣ,گوشه‌نشینی
гӯшапаймо,گوشه‌پیما
гӯшбанд,گوش‌بند
гӯшбистар,گوش‌بستر
гӯшбур,گوش‌بر
гӯшбурида,گوش‌بریده
гӯшбурӣ,گوش‌بری
гӯшвон,گوش‌وان
гӯшвонӣ,گوش‌وانی
гӯшворак,گوش‌وارک
гӯшгарон,گوش‌گران
гӯшгаронӣ,گوش‌گرانی
гӯшгир,گوش‌گیر
гӯшгузор,گوش‌گذار
гӯшдард,گوش‌درد
гӯшдароз,گوش‌دراز
гӯшдиҳанда,گوش‌دهنده
гӯшдор,گوش‌دار
гӯшида,گوشی‌ده
гӯшидан,گوشی‌دن
гӯшкалон,گوش‌کلان
гӯшкар,گوش‌کر
гӯшкаркунанда,گوش‌کرکننده
гӯшкашак,گوش‌کشک
гӯшкашӣ,گوش‌کشی
гӯшкашон,گوش‌کشان
гӯшмол,گوش‌مال
гӯшмолак,گوش‌مالک
гӯшмонак,گوش‌مانک
гӯшмоҳӣ,گوش‌ماهی
гӯшнавоз,گوش‌نواز
гӯшношунида,گوش‌ناشنیده
гӯшовез,گوش‌آویز
гӯшогӯш,گوشا‌گوش
гӯшона,گوش‌انه
гӯшоҳанг,گوش‌آهنگ
гӯшпайванд,گوش‌پیوند
гӯшпаҳн,گوش‌پهن
гӯшпеч,گوش‌پیچ
гӯшрас,گوش‌رس
гӯшрӯз,گوش‌روز
гӯшсих,گوش‌سیخ
гӯштбирён,گوشت‌بریان
гӯштбурда,گوشت‌برده
гӯштдор,گوشت‌دار
гӯштдорӣ,گوشت‌داری
гӯштез,گوش‌تیز
гӯштезӣ,گوشت‌یزی
гӯштигир,گوشتی‌گیر
гӯштигирӣ,گوشت‌یگیری
гӯштин,گوشت‌ین
гӯштингир,گوشتی‌نگیر
гӯштингирӣ,گوشتی‌نگیری
гӯшткӯб,گوشت‌کوب
гӯшткӯбӣ,گوشت‌کوبی
гӯштқима,گوشت‌قیمه
гӯштнок,گوشت‌ناک
гӯштоб,گوشت‌اب
гӯштоба,گوشت‌ابه
гӯштобак,گوشت‌ابک
гӯштовар,گوشت‌آور
гӯштолуд,گوشت‌آلود
гӯштпора,گوشت‌پاره
гӯштфурӯш,گوشت‌فروش
гӯштфурӯшӣ,گوشت‌فروشی
гӯштхӯр,گوشت‌خور
гӯштхӯрӣ,گوشت‌خوری
гӯшфил,گوش‌فیل
гӯшхазак,گوش‌خزک
гӯшхез,گوش‌خیز
гӯшхона,گوش‌خانه
гӯшхор,گوش‌خار
гӯшшӯӣ,گوش‌شویی
гӯшшӯй,گوش‌شوی
гавоз,گو‌از
гувоз,گو‌از
гулдурос,گل‌دوراس
гулдуррос,گل‌دوراس
гулпераҳан,گل‌پیرهن
гулпираҳан,گل‌پیرهن
гумбурос,گم‌براس
гумбуррос,گم‌براس
гусастаумед,گسسته‌امید
гусистаумед,گسسته‌امید
гандумкӯба,گندم‌کوبه
гандумкӯба,گندم‌کوب
гандумпазӣ,گندم‌پزی
гандумпазӣ,گندم‌پز
говора,گاو‌اره
гурезонидан,گریزانی‌دن
гурезонидан,گریزان‌دن
гуселонидан,گسی‌لاندن
густаридан,گستری‌دن
гарева,گیری‌وه
гирева,گیری‌وه
ғабин,غبین
ғабӣ,غبی
ғабн,غبن
ғабоза,غبازه
ғаброӣ,غبرائی
ғабуқ,غبوق
ғав,غو
ғавбандӣ,غوبندی
ғаввос,غواص
ғаввосӣ,غواصی
ғавғо,غوغا
ғавғосолорӣ,غوغاسالاری
ғавӣ,غوی
ғаводӣ,غوادی
ғавомиз,غوامض
ғавоят,غوایت
ғавр,غور
ғавс,غوث
ғавс,غوص
ғавшод,غوشاد
ғад,غد
ғаданг,غدنگ
ғадв,غدو
ғадир,غدیر
ғадр,غدر
ғадуд,غدود
ғадуддор,غدوددار
ғадудӣ,غدودی
ғадудча,غدودچه
ғаж,غژ
ғажгов,غژگاو
ғажғаж,غژغژ
ғажд,غژد
ғажжас,غژس
ғажидан,غژیدن
ғазаб,غضب
ғазабнок,غضبناک
ғазабнокӣ,غضبناکی
ғазавот,غزوات
ғазал,غزل
ғазалсаро,غزلسرا
ғазалсароӣ,غزلسرایی
ғазанфар,غضنفر
ғазбон,غضبان
ғазва,هغزو
ғазо,غزا
ғазозат,غضاضت
ғазол,غزال
ғазола,غزاله
ғазорат,غزارت
ғайб,غیب
ғайба,غیبه
ғайбат,غیبت
ғайбатгӯй,یغیبتگو
ғайбӣ,غیبی
ғайбнамой,یغیبنما
ғайз,غیض
ғайз,غیظ
ғайм,غیم
ғайн,غین
ғайр,غیر
ғайра,غیره
ғайрат,غیرت
ғайратӣ,غیرتی
ғайратманд,غیرتمند
ғайратмандӣ,غیرتمندی
ғайратмандона,غیرتمندانه
ғайриандозӣ,غیراندازی
ғайривоқеӣ,غیرواقعی
ғайридавлатӣ,غیردولتی
ғайридемократӣ,غیردماکرتی
ғайризарурӣ,غیرضروری
ғайриинсонӣ,غیرانسانی
ғайрикапиталистӣ,غیرکپیتلستی
ғайриқаноатбахш,غیرقناعتبخش
ғайриқонунӣ,غیرقانونی
ғайриманкуҳа,غیرمنکوحه
ғайримантиқӣ,غیرمنطقی
ғайримаъмул,غیرمعمول
ғайримумкин,غیرممکن
ғайримунтазира,هغیرمنتظر
ғайримустақим,غیرمستقیم
ғайринизомӣ,غیرنظامی
ғайриодилона,غیرعادلانه
ғайриорганикӣ,غیرآرگنیکی
ғайрирасмӣ,غیررسمی
ғайрисанитарӣ,غیرسنیتری
ғайристандартӣ,غیرستندرتی
ғайритасрифӣ,غیرتصریفی
ғайрифаъол,غیرفعال
ғайришаффоф,افّغیرشف
ғайриштатӣ,غیرشتتی
ғайрӣ,غیری
ғалаба,غلبه
ғалаён,غلیان
ғалақа,غلقه
ғалақадаро,غلقهدرا
ғаламус,غلموس
ғалат,غلط
ғалатӣ,غلطی
ғалатфаҳмонӣ,غلطفهمانی
ғалбербоф,غلبیرباف
ғалбербофӣ,غلبیربافی
ғалбервор,غلبیروار
ғалён,غلیان
ғализ,غلیظ
ғализӣ,غلیظی
ғалла,هّغل
ғаллабезак,هبیزکّغل
ғаллабум,هبمّغل
ғаллагӣ,گیّغل
ғаллағундор,هغندارّغل
ғаллағундорӣ,هغنداریّغل
ғалладаравӣ,هدرویّغل
ғалладон,هدانّغل
ғалладона,هدانهّغل
ғалладонакор,هدانهکارّغل
ғаллазор,هزارّغل
ғаллакашонӣ,هکشانیّغل
ғаллакор,هکارّغل
ғаллакорӣ,هکاریّغل
