tj,pers
Аваҷи,آواجی، هیوگو
Ула (дарё),اولا (رود)
Авво,گاوران
Авгит,اوژیت
Август,اوت
Август Бебел,آگوست ببل
Август Мюллер,آگوست مولر (خاورشناس)
Августин,آگوستین
Августингароӣ,آگوستینیسم
Августо Батала,آگوستو باتالا
Августо Маингуйягуэ,آگوستو ماینگویاگ
Августо Пиночет,آگوستو پینوشه
Августо Поросо,آگوستو پوروزو
Августо Сезар Морейра,آگوستو سزار موریرا
Августо Солари,آگوستو سولاری
Августо Фернандес,آگوستو فرناندز
Августов,آوگوستوف
Мухтор Авезов,مختار عوض‌اف
Авелла,آولا
Авеллино (музофот),آولینو
Авен-сюр-Элп (ҳавза),بخش اون-سور-الپ
Аверон,آویرون
Забони авестоӣ,زبان اوستایی
Авиа (дарё),رودخانه آویا
Авиауфуқ,نشانگر وضعیت
Авиакон Цитотранс,اویاکون زیتوترانس
Ҳавонавардӣ,هوانوردی
Ҳавонавардии ғайринизомӣ,هوانوردی غیرنظامی
Ҳавонавардии кишоварзӣ,هواگرد کشاورزی
Хадамоти пизишкии ҳавоӣ,آمبولانس هوایی
Ҳавонавардии низомӣ,هوانوردی نظامی
Авиацияи Гама,گاما ایویشین
Авинон (ҳавза),بخش اوینیون
Авитаминоз,آویتامینوز
Авлиё Чалабӣ,اولیا چلبی
Шаҷараномаи атрофиёни Муҳаммад,الگو:شجره‌نامه اطرافیان محمد
Амедео Авогадро,آمدئو آووگادرو
Авокодо,آووکادو
Авомфиребӣ,عوام‌فریبی
Аврам Гершко,افرام هرشکو
Аврангзеб,اورنگ‌زیب
Аврангобод,اورنگ‌آباد
Авранш (ҳавза),بخش اورانش
Аврат,عورت
Марк Аврелий,مارکوس آئورلیوس
Авриг,اوری (رومانی)
Аврора (ширкати ҳавопаймоӣ),آورورا (شرکت هواپیمایی)
Авруосиё,اوراسیا
Аврупо,اروپا
Аврупои Шарқӣ,اروپای شرقی
Аврупои Ғарбӣ,غرب اروپا
Австралия (мазмунҳо),استرالیا (ابهام‌زدایی)
Австралия (филм),استرالیا (فیلم ۲۰۰۸)
Австралия (қитъа),استرالیا (قاره)
Бумиёни Австралия,بومیان استرالیا
Австралопитекҳо,جنوبی‌کپی
Утришиҳо,اتریشیان
Утриш,اتریش
Австрияи Боло,اوبراسترایش
Австрияи Поён,نیدراسترایش
Автобус,اتوبوس
Автовокзал,پایانه اتوبوسرانی
Шебсоз,گریدر
Автоклав,اتوکلاو
Ассембли,زبان اسمبلی
Автолиз,خودکافت (زیست‌شناسی)
Худкорсозӣ,خودکارسازی
Худрав,خودرو
Худрави варзишӣ,خودروی اسپورت
Худрави зиреҳпӯш,خودرو چرخ‌دار زره‌پوش (نظامی)
Автономия,خودمختاری
Мухторияти Туркистон,مختاریات ترکستان
Автопилот,خلبان خودکار
Худнигора,خودنگاره
Авторадиография,اتورادیوگرافی
Иқтидоргароӣ,اقتدارگرایی
Авторитет,اقتدار
Авторучка,خودکار (نوشت‌افزار)
Ройгонсаворӣ,رایگان‌سواری
Автотомия,خودبری
Автотрансформатор,اتوترانسفورماتور
Авф,عفو عمومی
Муҳаммад Авфӣ,محمد عوفی
Авҳадии Мароғаӣ,اوحدی مراغه‌ای
Агава,آگاوه
Агайя Гангай (шаршара),آبشار آگایا گانگای
Агано,آگانو، نیگاتا
Агар-агар,آگار
Агартала,آگارتالا
Агата Кристӣ,آگاتا کریستی
Агафокл,آگاتوکلس
Агглютинатсия (забоншиносӣ),هم‌چسبی
Агейт (шаршара),آبشار آگات
Агент,ایجنت
Хабаргузорӣ,خبرگزاری
Агео,آگه‌ئو، سایتاما
Агидел,آگیدل
Агнес Мо,اگنس مونیکا
Агнита,اگنیت
Агнозия,ادراک‌پریشی
Надонамгароӣ,ندانم‌گرایی
Агра,آگره
Агранулоситоз,آگرانولوسیتوز
Агранулоситҳо,آگرانولوسیت
Кишоварзӣ,کشاورزی
Аграфия,نانگارایی
Ағрӣ,آگری
Агриз,آگریز
Агробизнес,تجارت کشاورزی
Барзшиносӣ,برزشناسی
Муҳандисии кишоварзӣ,مهندسی کشاورزی
Агрофон,آئروفون
Агрохимия,شیمی کشاورزی
Агстафа,آغستفا
Агуаскалентес,آگوئاسکالینتس (شهر)
Агус (футболбоз),آگوس (بازیکن فوتبال)
Агус Медина,اگوس مدینا
Агустин Абадия,اگوستین ابادیا
Агустин Адорни,آگوستین آدورنی
Агустин Алаес,آگوستین آلیس
Агустин Алионе,آگوستین آلیونه
Агустин Арансабал,آگوستین آرانزابال
Агустин Балбуэна,آگوستین بالبوئنا
Агустин Баттипиэди,آگوستین باتیپیدی
Агустин Брионес,آگوستین بریونز
Агустин Валидо,آگوستین ولیدو
Агустин Вилар,اگوستین ویلار
Агустин Вулетик,آگوستین وولتیچ
Агустин Гайнса,آگوستین گاینزا
Агустин Гахате,اگوستین گاجات
Агустин Гисасола,اگوستین گیاسولا
Агустин Гомес Пагола,اگوستین گومز (بازیکن فوتبال، زاده ۱۹۲۲)
Агустин Гонсалес Тапия,آگوستین گونزالس (بازیکن فوتبال، زاده ۱۹۸۳)
Агустин Де Ла Канал,کانال آگوستین د لا
Агустин Делгадо,آگوستین دلگادو
Агустин Доффо,آگوستین دوفو
Агустин Ируста,آگوستین ایروستا
Агустин Каноббио,آگوستین کانوبیو
Агустин Кардосо,آگوستین کاردوزو (بازیکن فوتبال، زاده ۱۹۹۷)
Агустин Каттанео,آگوستین کاتانئو
Агустин Коския,آگوستین کوشیا
Агустин Коусилас,آگوستین کوسیلاس
Агустин Ланата,آگوستین لاناتا
Агустин Ластагарай,آگوستین لاستاگارای
Агустин Маркесин,آگوستین مارچسین
Агустин Ортега,آگوستین اورتگا
Агустин Пелетиэри,آگوستین پلتیری
Агустин Родригес Сантяго,آگوستین رودریگز سانتیاگو
Агустин Росси (футболбоз),آگوستین روسی
Агустин Санчо,آگوستین سانچو
Агустин Сауто Арана,آگوستین سائوتو آرانا
Агустин Сехас,ابروهای آگوستین
Агустин Силва,آگوستین سیلوا
Агустин Торасса,آگوستین توراسا
Агустин Фаряс,آگوستین فاریاس
Агустин Фернандес Чарро,اگوستین فرناندز (بازیکن فوتبال)
Агустин Фонтана,آگوستین فونتانا
Агустин Хара,آگوستین خارا
Агустин Эйсагирре,آگوستین ایساگیرره
Агустин Элдуаен,اگوستین الداین
Агут (дарё),آگو
Леонид Агутин,لی یونین آگوتین
Агуштпона,انگشتانه
Сураи Ад Духон,دخان
Адcон Да Силва Нерй,هادسون دا سیلوا نری
Ада-Ҳай (шаршара),آبشار آداهای
Ада (забони барномасозӣ),ایدا (زبان برنامه‌نویسی)
Ада Лавлейс,ایدا لاولیس
Адаб,ادب
Адабиёт,ادبیات
Адабиёти Маҳҷар,ادبیات مهجر
Таърихи адабиёти тоҷик,ادبیات معاصر تاجیکستان
Адабиёти атиқа,ادبیات باستان
Адабиёти кӯдак,ادبیات داستانی کودکان
Достони корогоҳӣ,داستان کارآگاهی
Адабиёти илмии бадеӣ,ادبیات داستانی
Адабиёти илмӣ,نوشتجات علمی
Адабиёти русӣ,ادبیات روسی
Адабиёти таърихӣ,ادبیات داستانی تاریخی
Адабиёти форс-тоҷик,ادبیات فارسی
Адабиётшиносӣ,علوم ادبی
Адад,عدد
Адади Авогадро,عدد آووگادرو
Адади Рейнолдс,عدد رینولدز
Адади комплексӣ,عدد مختلط
Адади мавҷӣ,طول‌موج
Адади массавӣ,عدد جرمی
Адади мукаммал,عدد تام
Адади натуралӣ,عدد طبیعی
Адади нашр,شمارگان
Адади ратсионалӣ,عدد گویا
Адади транccендентӣ,عدد متعالی
Адади фурйе,عدد فوریه
Адади шмидт,عدد اشمیت
Адади эйлер,عدد اویلر (فیزیک)
Ададҳои Диофант ва Лиувилл,عدد لیوویل
Ададҳои байнан сода,اعداد متباین
Ададҳои бутун,عدد صحیح
Ададҳои ирратсионалӣ,عدد گنگ
Ададҳои квантӣ,عدد کوانتومی
Ададҳои муқобил,وارون جمعی
Ададҳои ҷуфт ва тоқ,اعداد زوج و فرد
Адаилтон Дус Сантос Да Силва,آدایلتون (بازیکن فوتبال، زاده ۱۹۹۰)
Адай Бенитес,ادای بنیتز
"Адайлтон (футболбоз, тав. 1977)",آدیلتون (بازیکن فوتبال، زاده ۱۹۷۷)
"Адайлтон (футболбоз, тав. 1979)",آدیلتون (بازیکن فوتبال، زاده ۱۹۷۹)
"Адайлтон (футболбоз, тав. 1983)",آدیلتون (بازیکن فوتبال، زاده ۱۹۸۳)
Адалберт Корпонай,ادالبرت کورپونای
Адалберто Пеняранда,آدالبرتو پنیاراندا
Адалто Батиста Да Силва,آدالتو باتیستا دا سیلوا
Адам Абдуллоҳ Усмон,آدم عبد الله عثمان دار
Одам Бутчер,آدام بوچر
Адам Опел,آدام اوپل
Адам Сайтиев,آدام سایتیف
Адам Смит,آدام اسمیت
"Адама Траоре (футболбоз, тав. 1996)",آداما ترائوره (بازیکن فوتبال، زاده ۱۹۹۶)
Жак Адамар,ژاک آدامار
Адамар Франсиско Караветти,آدامار کاراوتی
Адамсит,آدامسیت
Адамстаун,آدامستاون، جزایر پیت‌کرن
Адан Гурдиел,ادان گوردیل
Адан Нунес Дорнеллес,آدوزینیو
Адан Перес,ادن پرز
Одоно,آدانا
Адапазари,آداپازاری
Адаптатсия,سازگاری (زیست‌شناسی)
Наск,عدس
Адвайта-веданта,ویدانته ادویته
Адвексия,انتقال (فیزیک)
Адгезия,چسبندگی
Аддис-Абеба,آدیس آبابا
Адевалдо Виржилио Нетто,آدوالدو
Аделаида,آدلاید
Аделардо Родригес,ادلاردو رودریگز
Аделино Да Силва Перейра Сиркейра,آدلینو (بازیکن فوتبال، زاده ۱۹۹۴)
Адемар Апаресидо Хавйер Жуниор,آدمار خاویر
Адемар Канавеси,آدمار کاناوسی
Аденилcон,ادمیلسون
Аденир Алкантара,آدمیر آلکانترا
Аденир Да Гиа,آدمیر دا گویا
Аденир Кандидо,ادمیر کاندیدو
Аденир Маркес Де Ненезес,آدمیر مارکز منز
Аденир Рибейро Соуза,ادمیر (بازیکن فوتبال، زاده ۱۹۸۵)
Аденир Роке Каэфер,آدمیر راکه کائفر
Аденовирусҳо,آدنوویروس
Аденозин,آدنوزین
Аденоидҳо,آدنوئید
Аденома,آدنوم
Адербар Нело Дус Сантос Нето,سانتوس نتو
Адерлан Сантос,آدرلان سانتوس
Адерлан Силва,آدرلان سیلوا
Адесио Алвес Макадо,ادسیو
Нависанда,نویسنده
Адиб Собири Тирмизӣ,ادیب صابر
Адиб Шишаклӣ,ادیب شیشکلی
Адиби Нишопурӣ,عبدالجواد ادیب نیشابوری
Адиби Пешоварӣ,ادیب پیشاوری
Адибулмамолики Фароҳонӣ,ادیب‌الممالک فراهانی
Адигея,آدیغیه
Адигейск,آدیگیسک
Адигейҳо,آدیغی‌ها
Адилcон Агэро Дус Сантос,ادیلسون مارینگا
Адилcон Баиа,ادیلسون باهیا
Адилcон Дус Сантос Соуза,ادیلسون (بازیکن فوتبال، زاده ۱۹۸۷)
Адилcон Кандидо Де Соуза,ادیلسون (بازیکن فوتبال، زاده ۱۹۷۴)
Адилcон Карлос Таварес Филю,ادیلسون گویانو
Адилио,آدیلیو (بازیکن فوتبال، زاده ۱۹۵۶)
Адинамия,آدینامیا
Адитя Панчолӣ,آدیتای پانچولی
Адитя Рой Капур,آدیتیا روی کاپور
Одиёмон,آدیامان
Адлӣ Мансур,عدلی منصور
Аднон Очeли,عدنان اوچلی
Адо (футболбоз),آدو (بازیکن فوتبال)
Адолат,عدالت
Адолати иҷтимоӣ,عدالت اجتماعی
Адолати судӣ,انصاف (حقوق)
Адолпо Араужо Нетто,آدولفو آرائوخو نتو
Адолф Байер,آدولف فون بایر
Адолф Дасслер,آدولف داسلر
Адолф Ҳитлер,آدولف هیتلر
Адолфо Алдана,آدولفو آلدانا
Адолфо Бейнс Пиларт,ادولفو بینز
Адолфо Болеа,ادولفو بولیا
Адолфо Валенсия,آدولفو بالنسیا
Адолфо Зумелсу,آدولفو زوملزو
Адолфо Лассарини,آدولفو لازارینی
Адолфо Мачадо,آدولفو ماچادو
Адолфо Миранда,ادولفو میراندا
Адолфо Мояно Бургос,پوپو (بازیکن فوتبال، زاده ۱۹۸۸)
Адонис Иларио,آدونیس هیلاریو
Адоркелино Уэсли Гонес Да Силва,آدورسلینو ویسلی گومز دا سیلوا
Адрасмон,ادرسمان
Адреналин,آدرنالین
Адри Кастелано,ادری کاستلانو
Адри Эмбарба,ادری کوبا
Адриа Гранел,آدریا گرانل
Адриа Кармона,آدریا کارمونا
Адриан (футболбоз),آدریان سن میگوئل
Адриан Авалос,آدریان آوالوس
Адриан Аррегуи,آدریان آرگی
Адриан Бастия,آدریان باستیا
Адриан Бербия,آدرین بربیا
Адриан Боне,آدریان بونه
Адриан Бянки,آدریان بیانچی
Адриан Габбарини,آدریان گابارینی
Адриан Гомес Рамирес,ادری گومز
Адриан Гонсалес Моралес,آدریان گونزالز مورالس
Адриан Далмау,آدرین دالمائو
Адриан Доменек,آدریان دومنک
Адриан Калело,آدریان کاللو
Адриан Кория,آدریان کوریا
Адриан Ксорномас,آدریان چورنوماز
Адриан Кубас,آدریان کوباس
Адриан Куэвас Алхесирас,ادری کوئواس
Адриан Лопес,آدرین لوپز
Адриан Лусеро,آدریان لوسرو
Адриан Маия,آدریان محیا
Адриан Моуринйо,ادریان مورینیو
Адриан Науел Мартинес,آدریان ناهوئل مارتینز
Адриан Ортола,آدریان اورتولا
Адриан Павон Лейва,ادری پاوان
Адриан Пералта,آدریان پرالتا
Адриан Рамос,آدریان راموس
Адриан Руис Ортис,ادری رویز
Адриан Руэлас,آدریان رولس
Адриан Спорле,آدریان اسپورل
Адриан Ссифо,آدریان سیفو
Адриан Тринидад,آدریان ترینیداد
Адриан Фернандес (футболбоз),آدریان فرناندز (بازیکن فوتبال، زاده ۱۹۸۰)
Адриан Эрнан Гонсалес,آدریان گونزالس (بازیکن فوتبال، زاده ۱۹۷۶)
Адриана Кампос,آدریانا کامپوس
Адрианиню,آدریانینیو
"Адриано (футболбоз, тав. 1982)",آدریانو (بازیکن فوتبال، زاده فوریه ۱۹۸۲)
"Адриано (футболбоз, тав. 1984)",آدریانو (بازیکن فوتبال، زاده ۱۹۸۴)
Адриано Алвес Дус Сантос,آدریانو (بازیکن فوتبال، زاده ژوئیه ۱۹۸۵)
Адриано Басо,آدریانو باسو
Адриано Биспо,آدریانو (بازیکن فوتبال، زاده می ۱۹۸۷)
Адриано Виейра Лозада,آدریانو ویرا لوزادا
Адриано Габиру,آدریانو گابریو
Адриано Де Лима,آدریانو دی لیما
Адриано Дуарте Мансур Да Силва,آدریانو دوراتی
Адриано Жозе Де Лара,آدریانو (بازیکن فوتبال، زاده دسامبر ۱۹۸۷)
Адриано Инакио Да Матта,آدریانو دا ماتا
Адриано Лозада,آدریانو (بازیکن فوتبال، زاده ۱۹۹۴)
Адриано Магран,آدریانو ماگرائو
Адриано Перейра Да Силва,آدریانو (بازیکن فوتبال، زاده ۱۹۸۲)
Адриано Пинента,آدریانو پیمنتا
Адриано Росато,آدریانو روساتو
Адриано Силва Франсиско,آدریانو (بازیکن فوتبال، زاده ۱۹۶۹)
Адриано Факшини (футболбоз),آدریانو فاچینی
Адриано Ферейра Пинто,آدریانو فریرا پینتو
Адриано Франсиско,آدریانو فرانسیسکو
Адриано Челентано,آدریانو چلنتانو
Эдирна,ادرنه
Баҳри Адриатикӣ,دریای آدریاتیک
Адриен Cатлер,ادریان ساتلر
Адриен Гонйи,ادرین گونی
Адрян,ادیریان
Адряно Саманиего,آدریانو سامانیگو
Адсорбсия,جذب سطحی
Адуляр,سنگ ماه
Аждар,اژدهای کومودو
Аждардаҳон,گل میمونی (سرده)
Аждаҳо,اژدها
Заҳҳок,ضحاک
Аз-Зақозиқ,زقازیق
Сураи Аз Зилзол,زلزال
Сураи Аз Зориёт,ذاریات
Сураи Аз Зумар,زمر
Сураи Аз Зухруф,زخرف
Сураи Аз Зуҳо,ضحی
Аз утоқи фароқати худ чигуна истифода кунем?,از اوقات فراغت چگونه استفاده کنیم: رنگ‌زنی
Эден Азар,ادن آزار
Азат (ноҳияи Енбекшиқазоқ),آزاد (قزاقستان)
Азедин Лароқӣ,عزالدین العراقی
Азиз Несин,عزیز نسین
Азиз Оҳаннуш,عزیز اخنوش
Азиза Азимова,عزیزه عظیموا
Азизуддин Насафӣ,عزیزالدین نسفی
Самт (ситорашиносӣ),سمت (ستاره‌شناسی)
Гигантҳо,گیگانت‌ها
Ғулпайкарӣ,غول‌پیکری
Азм (равоншиносӣ),اراده (روان‌شناسی)
Азнакаево,آزناکایفو
Азно,ازنا
Азобензол,آزوبنزن
Азов,دریای آزوف
Азов (шаҳр),آزوف
Азовский (ноҳияи Камизяк),آزوفسکی (آستراخان)
Азовсталь,آزوف‌استال
Азозил,عزازیل
Азоимид,هیدرازوئیک اسید
Азон,اذان
Ҷазираҳои Азор,آزور
Ашъария,اشاعره
Нитроген,نیتروژن
Азотобактер,ازتوباکتر
Азрақии Ҳиравӣ,ازرقی هروی
Азрақия,ازارقه
Азроил,عزرائیل
Азуга,ازوگا
Азудуддавла Фанохусрав,عضدالدوله دیلمی
Азулам,آسولام
Азумино,آزومینو، ناگانو
Азуни (Сардиния),آسونی
Азур Эйр Украина,یوتی-اوکراین
Азурит,آزوریت
Ҳодис,هادس
Аизувакаматсу,آیزوواکاماتسو، فوکوشیما
Аизул,آیزول
Аиои,آیویی، هیوگو
Аирйанэм Ваэҷаҳ,ایران‌ویج
Аисаи,آیسای، آیچی
Ай ёрум биё,ای یارم بیا
Айбасти,آی‌باستی
Айбдоркунӣ,کیفرخواست
Айвалик,آیوالیک
Айвон (шаҳр),ایوان (ایلام)
Тоқи Кисро,طاق کسری
Айдарлӣ (ноҳияи Панфилов),آیدارلی (پانفیلوف)
Айдаҳо,آیداهو
Айдомаҷоре,ایداماجیور
Айелло-дел-Сабато,ایلو دل ساباتو
Оиша Токиё,آیشا تاکیا
Айеша Ҷҳулка,عایشا جولکا
Иравади (дарё),رود ایراوادی
Айзек Азимов,آیزاک آسیموف
Айлесфорд Стрим (дарё),ایلسفورد استریم
Айлоқ,ییلاق
"Айлтон (футболбоз, тав. 1973)",آیلتون (بازیکن فوتبال، زاده ۱۹۷۳)
"Айлтон (футболбоз, тав. 1984)",آیلتون (بازیکن فوتبال، زاده ۱۹۸۴)
Айлтон Де Оливейра Модесто,آیلتون (بازیکن فوتبال، زاده ۱۹۸۰)
Айлтон Жозе Перейра Жуниор,آیلتون جونیور
Айлтон Феррас,آیلتون فراز
Айман аз-Завоҳирӣ,ایمن الظواهری
Айман ибни Абдурраҳмон,ایمن بن عبدالرحمان
Аймар Моратала,ایمار موراتالا
Аймар Сагастибелса,ایمار ساگاستیبلزا
Айморе Морейра,آیموره موریرا
Айнажӣ,آیناژی
Айнак,عینک
Айнара Мантерола,مانترولا آینارا
Айният (математика),اتحاد (ریاضیات)
Айнулқузоти Ҳамадонӣ,عین‌القضات همدانی
Садриддин Айнӣ,صدرالدین عینی
Айнӣ (мазмунҳо),عینی
Айнӣ (шаҳрак),عینی (جماعت)
Камол Айнӣ,کمال‌الدین عینی
Айова,آیووا
Айосе Гарсия,عیاش گارسیا
Айосе Диас Диас,عیاش دیاز
Айосе Перес,آیوزه پرز
Айосе Пласерес,ایزد لازارس
Айрам Лопес,ایرام کابررا
Айрокуоая (шаршара),آبشار ایست ایروکئوا
Айрон,دوغ
Айс Кюб,آیس کیوب
Айс Ранвей,آیس رانوی
Айсапай (ноҳияи Красноярск),آیساپای
Кӯҳи яхӣ,کوه یخی
Айтами Алварес,ایثامی الوارز
Айтами Артилес,ایثامی ارتریس
Айтей,آیتئی (آلماتی)
Айтор Аррехи,ایتور ارگی
Айтор Бланко,ایتور بلانکو
Айтор Бунйуэл,آیتور بونوئل
Айтор Гарсия,ایتور گارسیا
Айтор Канталапиедра,آیتور کانتالاپیدرا
Айтор Каранка,آیتور کارانکا
Айтор Касас,ایتور کاساس
Айтор Ларразабал,ایتور لارازابال
Айтор Лопес Рекарте,ایتور لوپز رکارت
Айтор Монрой Руэда,آیتور مونروی
Айтор Нунйес,ایتور نونیز
Айтор Осио,ایتور اوسیو
Айтор Рамос,ایتور راموس
Айтор Санс,ایتور سانز
Айтор Сегин,ایتور سگین
Айтор Торнавака,ایتور تورناواکا
Айтор Фернандес,ایتور فرناندز (بازیکن فوتبال، زاده ۱۹۹۱)
Айтор Фернандес Лопес,ایتور فرناندز (بازیکن فوتبال، زاده ۱۹۸۶)
Айтор Эмбела,ایتور امبلا
Айхвалд,ایچوالد
Айхенберг (Форарлберг),آیشنبرگ، اتریش
Айча Айшин Турон,آیچا آیشین توران
Айшвария Рай,آیشواریا رای
Айюбиён,ایوبیان
Айяанар (шаршара),آبشار آیانار
Айёми ташриқ,ایام تشریق
Ак-Довурак,آک-دوووراک
Акабира,آکابیرا، هوکایدو
Акад,اکد (شهر)
Академизм,هنر آکادمیک
Фарҳангистон,فرهنگستان
Академияи Хадамоти амнияти федероли Русия,آکادمی اف‌اس‌بی
Академияи Google,گوگل اسکالر
Академияи илмҳо ва ҳунарҳои синамо,آکادمی علوم و هنرهای سینما
Академияи Афлотун,آکادمی افلاطون
Донишгоҳи Гундишопур,دانشگاه گندی‌شاپور
Фарҳангистони улуми Фаронса,فرهنگستان علوم فرانسه
Акаиуа,آکایوا، اوکایاما
Акакио Кордейро Баррето,آساسیو (بازیکن فوتبال)
Акаши,آکاشی، هیوگو
Акбари Бузург,اکبر کبیر
Акбар Мирзоев,اکبر میرزایف
Акбар Муҳсинӣ,اکبر محسنی
Акбаробод (Эрон),اکبرآباد (کوار)
Акбаршоҳ Искандаров,اکبرشاه اسکندرف
Аквамарин,زمرد کبود
Акварел,آبرنگ
Аквариум,آکواریوم
Акведук,آباره
Аквилония,آکویلونیا، ایتالیا
Аки,آکی، کوچی
Акинак,آکیناکه
Акира Куросава,آکیرا کوروساوا
Акируно,آکیرونو، توکیو
Акита,آکیتا (شهر)
Префектураи Акита,استان آکیتا
Фурудгоҳи Акита,فرودگاه اکیتا
Акитаката,آکیتاکاتا، هیروشیما
Акишима,آکیشیما، توکیو
Акка,زاغی اوراسیایی
Аккад,اکد
Акклиматизатсия,هم‌هوایی
Аккомпанемент,همراهی (موسیقی)
Аккорд,آکورد
Аккордеон,آکوردئون
Аксбардорӣ,عکاسی
Аккредитив,اعتبارنامه
Аккретсия,برافزایش (اخترفیزیک)
Аккултуратсия,فرهنگ‌پذیری
Аклейсcон Cкайон,آلیسون (بازیکن فوتبال)
Акмал Сабуров,اکمل صابروف
Акмеизм,آکمه‌ایسم
Акнисте,آکنیسته
Ако,آکو، هیوگو
Акопонета (дарё),رودخانه آکاپونتا
Акоран Баррера Рис,اکوران باررا
Акри,اکری
Акридин,آکریدین
Акриламид,آکریل‌آمید
Акробатика,حرکات آکروباتیک
Акролеин,آکرولئین
Акромегалия,آکرومگالی
Акропол,آکروپولیس (معماری)
Акс,تصویر
Аксай,آکسای، استان روستوف
Аксбардорак,دوربین
Аксели Галлен-Каллела,آکسلی گالن-کاللا
Аксепт,پذیرش بانکی
Аксиз,مالیات تولید
Аксиома,اصل موضوع (منطق)
Саҳм,سهم
Аксон,آکسون
Аксонометрия,تصویر آگزنومتریک
Акти таслими Олмони фашистӣ,قرارداد تسلیم آلمان
Дороӣ,دارایی
Актиний,اکتینیم
Актинияҳо,شقایق دریایی
Актиноидҳо,آکتینیدها
Актинолит,اکتینولیت
Актиномикоз,اکتینومیکوز
Актюбе (ноҳияи Володарск),آکتیوبه (آستراخان)
Акуне,آکونه، کاگوشیما
Акустика,صوت‌شناسی
Акшай Кумар,آکشی کومار
Акшай Ханна,آکشای کانا
Донишгоҳи Ал-Азҳар,دانشگاه الازهر
Ал-Аламайн,العلمین
Масҷидулақсо,مسجدالاقصی
Ал-Исмоилия,اسماعیلیه (شهر)
Кувайт (шаҳр),کویت (شهر)
Ал-Мансура,منصوره
Ал-Минё,منیا
Ал-Туғрай,طغرایی
Ал-Уқсур,اقصر
Ал-Файюм,فیوم
Ихвону-л-муслимин,اخوان‌المسلمین
Ал-феҳрист,الفهرست (ابن ندیم)
Ал-ҳовӣ,الحاوی
Ал-Ҷазира,الجزیره (شبکه خبری)
Ал-Ҷалдакӣ,ایدمر جلدکی
Ал-Ҷубайл,جبیل (عربستان سعودی)
Сураи Ал Алақ,علق
Анбиё,انبیاء (سوره)
Анкабут (сура),عنکبوت (سوره)
Анфол,انفال
Анъом,انعام (سوره)
Сураи Ал Аср,عصر (سوره)
Сураи Ал Аъло,اعلی
Сураи Аъроф,اعراف (سوره)
Сураи Аҳзоб,احزاب
Сураи Ал Аҳқоф,احقاف
Ал Байда,بیضا (لیبی)
Баййина,بینه
Балад,بلد
Сураи Бақара,بقره
Сураи Буруҷ,بروج (سوره)
Воқиъа,واقعه
Сураи Оли Имрон,آل عمران
Сураи Ал Инсон,انسان (سوره)
Сураи Ал Инфитор,انفطار
Сураи Ал Иншиқоқ,انشقاق
Сураи Ал Исро,اسراء
Сураи Ал Ихлос,توحید (سوره)
Сураи Ал Кавсар,کوثر
Сураи Каҳф,کهف (سوره)
Сураи Ал Кофирун,کافرون
Сураи Ал Лайл,لیل (سوره)
Ал Лал Муҳаммад Амар,الکس محمد
Сураи Ал Масад,مسد
Сураи Ал Маъориҷ,معارج
Сураи Моида,مائده
Сураи Ал Моъун,ماعون
Сураи Ал Муддассир,مدثر
Сураи Ал Муззаммил,مزمل
Сураи Ал Мулк,ملک (سوره)
Сураи Мумтаҳана,ممتحنه
Мунофиқун,منافقون
Сураи Ал Мурсалот,مرسلات
Сураи Ал Мутаффифин,مطففین
Сураи Муъминун,مؤمنون
Сураи Ал Муҷодала,مجادله (سوره)
Сураи Ал Одиёт,عادیات
Сураи Ал Фалақ,فلق
Сураи Фатҳ,فتح (سوره)
Фаҷр (сура),فجر (سوره)
Сураи Ал Фил,فیل (سوره)
Фотиҳа (сура),فاتحه (سوره)
Сураи Ал Фурқон,فرقان
Сураи Ал Ғошия,غاشیه
Сураи Қадр,قدر (سوره)
Сураи Ал Қалам,قلم (سوره)
Сураи Ал Қамар,قمر (سوره)
Сураи Ал Қасас,قصص
Сураи Ал Қиёмат,قیامت (سوره)
Сураи Ал Қориа,قارعه
Сураи Ал Ҳадид,حدید
Сураи Ҳашр,حشر (سوره)
Сураи Ал Ҳаҷ,حج (سوره)
Сураи Ал Ҳиҷр,حجر (سوره)
Сураи Ал Ҳоққа,حاقه
Сураи Ал Ҳумаза,همزه (سوره)
Сураи Ал Ҳуҷурот,حجرات
Сураи Ал Ҷин,جن (سوره)
Сураи Ҷосия,جاثیه
Сураи Ал Ҷумъа,جمعه (سوره)
Алабама,آلاباما
Алавия,علویان (سوریه)
Алагир,آلاگیر
Алагоас,آلاگواس
Аладар Геревич,الادار گرویچ
"Алоуддин (филм, 2019)",علاءالدین (فیلم ۲۰۱۹)
Алайн (дарё),آلن (رود)
Алайн Алварес,الن الوارز
Алайн Арройо,الن ارویو
Алайн Оярсун,الن اویرزون
Алайн Эйсменди,الن ایزمندی
Аламир (шаршара),آبشار آلامر
Аламут,قلعه الموت
Алан Агуирре,آلن آگویر
Алан Акяр,آلن آکیار
Алан Арарио,آلن آراریو
Алан Баро,الن بارو
Алан Гералдо Де Нело Сантос,آلن (بازیکن فوتبال، زاده ۱۹۸۳)
Алан Дзагоев,آلان دزاگوئف
Алан Леандро,آلان لیناردو
Алан Нинейро,الن مینیرو
Алан Патрик,آلان پاتریک
Алан Руис,آلن رویز
Алан Сантос,آلان سانتوس
Алан Санчес,آلن سانچز
Алан Тюринг,آلن تورینگ
