Tajik,Persian,Prediction,Levenshtein_ratio
марҳиладор,مرحله‌دار,مرحله‌دار,1.0
худ ду пайғамбар ба ҳам кай зид шуданд,خود دو پیغمبر به هم کی ضد شدند,خود دو پیغمبر به هم کی زد شدند,0.9666666666666667
к-аз чӣ сӯ дармерасад бонгу хабар,کز چه سو در می‌رسد بانک و خبر,کز چه سو درمی رسد بانگ و خبر,0.9122807017543859
ва-т-тахазна-л-ҳабла мин ахлоқиҳим,واتخذنا الحبل من اخلاقهم,واطخذن الحبل من اخلاقهم,0.9361702127659575
ҷаҳонпаҳлавон ҷой пардахта монд,جهان پهلوان جای پردخته ماند,جهان پهلوان جای پردخته ماند,1.0
варна,و‌گرنه,و‌رنه,0.9090909090909091
сабукҷилав,سبک‌جلو,سبک‌جلو,1.0
чун фироқи нақш сахт ояд туро,چون فراق نقش سخت آید ترا,چون فراق نقش سخت آید ترا,1.0
монополист,ماناپالیست,ماناپالست,0.9473684210526316
серҷангал,سیر‌جنگل,سیرجنگل,0.9333333333333333
чун дар ин ғолиб шудан дид ӯ фасод,چون درین غالب شدن دید او فساد,چون درین غالب شدن دید او فساد,1.0
гуфт бо ҷисм ояте то ҷон шуд ӯ,گفت با جسمْ آیتی تا جان شد او,گفت با جسم آیتی تا جان شد او,0.9824561403508771
метр ва бо суръате ки гоҳе ба беш аз,متر و با سرعتی که گاهی به بیش از,متر و با سورعتی که گاهی به بیش از,0.9846153846153847
бас ин гар дилат бо хирад ҳаст ҷуфт,بس این‌گر دلت با خرد هست جفت,بس این گر دلت با خرد هست جفت,0.9642857142857143
марасонад барф сардӣ то сарӣ,می‌رساند برف سردی تا ثری,مرساند برف سردی تا سری,0.9130434782608696
обгузаронӣ,آب‌گذرانی,آبگذرانی,0.9411764705882353
бимолад-т дасти замон гӯши бахт,بمالدت دست زمان گوش بخت,بمالدت دست زمان گوش بخت,1.0
набиштам ба наздики шоҳи баланд,نبشتم به نزدیک شاه بلند,نبشتم به نزدیک شاه بلند,1.0
менамуд он макри эшон пеши ӯ,می‌نمود آن مکر ایشان پیش او,می‌نمود آن مکر ایشان پیش او,1.0
бехи ҳар як рафта дар қаъри замин,بیخ هر یک رفته در قعر زمین,بی‌خو هر یک رفته در قعر زمین,0.962962962962963
шаклан,شکلا,شکلا,1.0
мӯҳракаш,مهره‌کش,مهره‌کش,1.0
мактубан,مکتوب‌ا,مکتوبا,0.9230769230769231
ҳар кӣ тарсид аз ҳақу тақво гузид,هر که ترسید از حق او تقوی گزید,هر که ترسید از حق تقوی گزید,0.9473684210526316
гуфт некӯтар таҳаффус кун шаб аст,گفت نیکوتر تفحص کن شبست,گفت نیکوتر طحفص کن شبست,0.9130434782608696
чун зи истиғроқ бозомад фақир,چون ز استغراق باز آمد فقیر,چون ز استغراق باز آمد فقیر,1.0
фирӯза,فیروزه,فیروزه,1.0
к-аз назарандози хуршед аст кон,کز نظرانداز خورشیدست کان,کز نظرانداز خرشیدست کان,0.9787234042553191
бурун в-андарунаш ба дониш раҳ аст,برون و اندرونش به دانش رهست,برون و اندرونش به دانش رهست,1.0
бардоштанӣ,بر‌داشتنی,بر‌داشتنی,1.0
чошнӣ,چاشنی,چاشنی,1.0
ло бизайқин ло биайшин рағадан,لا بضیق لا بعیش رغدا,لا بزیقین لا بایشین رغدن,0.7727272727272727
баъд аз он пурсон шуд ӯ аз ҳар касе,بعد از آن پرسان شد او از هر کسی,بعد از آن پرسان شد او از هر کسی,1.0
оташи тарки ҳаво дар хор зан,آتش ترک هوا در خار زن,آتش ترک هوا در خار زن,1.0
дуболо,دو‌بالا,دو‌بالا,1.0
инонпечу гарданкашу номдор,عنان پیچ و گردنکش و نامدار,اینان پیچ و گردنکش و نامدار,0.9433962264150944
бар мани маҳҷубашон кун меҳрубон,بر من محجوبشان کن مهربان,بر من محجوبشان کن مهربان,1.0
бар ибодуллоҳ андар чашми ту,بر عبادالله اندر چشم تو,بر عبادالله اندر چشم تو,1.0
сахтҷон,سخت‌جان,سخت‌جان,1.0
дуздро бигзошт бозомад ба роҳ,دزد را بگذاشت باز آمد براه,دزد را بگذاشت باز آمد به راه,0.962962962962963
ҳошия,حاشیه,حاشیه,1.0
қӯшун,قشون,قوشون,0.8888888888888888
наҷотбахш,نجات‌بخش,نجات‌بخش,1.0
ҳон,هان,هان,1.0
суиистифода,سوئاستفاده,سوئیستفاده,0.9
чун ғалат шуд чашми мӯсо дар масал,چون غلط شد چشم موسی در مثل,چون غلط شد چشم موسل در مصل,0.9230769230769231
чақарсанг,چقرسنگ,چقرسنگ,1.0
чӯпон,چوپان,چوپان,1.0
дар табаъ дунёш ҳамчун пашму пушк,در تبع دنیاش هم‌چون پشم و پشک,در تبع دنیاش همچون پشم و پشک,0.9824561403508771
ки зи лутфи ёр талхиҳои мот,که ز لطف یار تلخیهای مات,که ز لطف یار تلخیهای مات,1.0
гуфтан,گفتن,گفتن,1.0
шуд аз гов гетӣ пур аз гуфтугӯй,شد از گاو گیتی پر از گفت‌گوی,شد از گاو گیتی پر از گفت‌وگوی,0.9824561403508771
субҳгоҳон,صبحگاه,صبح‌گاهان,0.8
ҳукмандозӣ,حکم‌اندازی,حکم‌اندازی,1.0
мурда шав чун ман ки то ёбӣ халос,مرده شو چون من که تا‌یابی خلاص,مرده شو چون من که تا یابی خلاص,0.9666666666666667
нафар дар ин муҷтамаъ саргарми кор буданд,نفر در این مجتمع سرگرم کار بودند,نفر در این مجتمع سرگرم کار بودند,1.0
баҳри ин дунёст мурсал робита,بهر این دنیاست مرسل رابطه,بهر این دنیاست مرصل را بته,0.9019607843137255
ин яқин дон к-аз хилофи одат аст,این یقین دان کز خلاف عادتست,این یقین دان کز خلاف عادتست,1.0
ӯ бидодиву бидонистӣ замир,او بدادی و بدانستی ضمیر,او بدادی و بدانستی ضمیر,1.0
гуфт пайғамбар ки ҳастанд аз фунун,گفت پیغامبر که هستند از فنون,گفت پیغامبر که هستند از فنون,1.0
воситонем он ки то донад яқин,واستانیم آن که تا داند یقین,واسطانیم آنک تا داند یقین,0.9230769230769231
в-аз такаллуфҳову ҷонбозиву ҷуд,وز تکلفها و جانبازی و جود,وز تکلفها و جانبازی و جود,1.0
ҷигардор,جگردار,جگردار,1.0
ориёӣ,آریای,آریایی,0.9090909090909091
сустрой,سست‌رای,سست‌رای,1.0
зиёновар,زیان‌آور,زیان‌آور,1.0
бенафъ,بین‌فع,بین‌فع,1.0
бодбаракбозӣ,بادبرکبازی,بادبرکبازی,1.0
валекин наёрист дам зад касе,ولیکن نیارست دم زد کسی,ولیکن نیارست دم زد کسی,1.0
то шиори дин шавад бисёру пур,تا شعار دین شود بسیار و پر,تا شعار دین شود بسیار و پر,1.0
сазо дорад андози ҳар кас нигоҳ,سزا دارد انداز هر کس نگاه,سزا دارد انداز هر کس نگاه,1.0
курс,کورس,کورس,1.0
мижа,مژه,مژه,1.0
каҷдил,ک‌جدل,کجدل,0.8888888888888888
ғайрикушанда,غیر کشنده,غیرکشنده,0.9411764705882353
пастҳиммат,پس‌تهمت,پست‌همت,0.8571428571428572
мағора,مغاره,مغاره,1.0
ҳамон сол заҳҳоки кишварситон,همان سال ضحاک کشورستان,همان سال زهاک کشور ستان,0.8888888888888888
нуқат,نقت,نقط,0.6666666666666667
гуфта,گفته,گفته,1.0
фаъол,فعال,فعال,1.0
баргушоям гар намеарзад махар,بر گشایم‌گر نمی‌ارزد مخر,برگشایم گر نمی‌ارزد مخر,0.9361702127659575
ҳаст ӯ миқрози аҳқоду ҷидол,هست او مقراض احقاد و جدال,هست او مقراض اهقاد و جدال,0.96
муҷомиат,مجامع‌ت,مجامعت,0.9230769230769231
калова,کلاوه,کلاوه,1.0
ин мақоми русӣ гуфт ки петру пурушенку,این مقام روسی گفت که پترو پروشنکو,این مقام روسی گفت که پیتر و پر اشینکو,0.9142857142857143
дар се газ қолаб ки додаш вонамуд,در سه گز قالب که دادش وا نمود,در سه گز قالب که دادش وا نمود,1.0
ҳеҷкора,هیج‌کاره,هیچ‌کاره,0.875
лоҷарам он роҳ бар ту баста шуд,لاجرم آن راه بر تو بسته شد,لاجرم آن راه بر تو بسته شد,1.0
гирифтанд аз он ҷой роҳи дароз,گرفتند از آنجای راه دراز,گرفتند از آنجای راه دراز,1.0
то кунад ӯ ҷинси эшонро шикор,تا کند او جنس ایشان را شکار,تا کند او جنس ایشان را شکار,1.0
ҳам нукар созид аз баҳри самуд,هم نکر سازید از بهر ثمود,هم نکر سازید از بهر سمود,0.9583333333333334
парвонавор,پروانه‌وار,پروان‌هوار,0.9
упо,اپا,اوپا,0.8571428571428572
маркаби шукр ар бихуспад ҳаррику,مرکب شکر ار بخسپد حرکوا,مرکب شکر ار بخسپد حرکوا,1.0
ҳамчу шерон хештанро вокашад,هم‌چو شیران خویشتن را واکشد,هم‌چو شیران خویشتن را وا کشد,0.9818181818181818
қиёматкада,قیامت‌کده,قیامت‌کده,1.0
дигар гунагун бардаи бешумор,دگر گونه گون برده بی‌شمار,دگر گنگون بردهٔ بی‌شومار,0.8979591836734694
дилҷамъ,دل‌جمع,دل‌جمع,1.0
маёсой аз андешаи гунагун,میاسای از اندیشه گونه گون,میاس از اندیشهٔ گونه گون,0.9387755102040817
сад аз инҳо гар бигӯям ту карӣ,صد ازینها‌گر بگویم تو کری,صد ازینها گر بگویم تو کری,0.96
машварат бо нафси хеш андар фиъол,مشورت با نفس خویش اندر فعال,مشورت با نفس خویش اندر فعال,1.0
ҳарфу савте кай будӣ андар ҷаҳон,حرف و صوتی کی بدی اندر جهان,حرف و صوتی کی بدی اندر جهان,1.0
балодат,بلادت,بلادت,1.0
чу баргашт бистудаш андар ниҳон,چو برگشت بستودش اندر نهان,چو برگشت بستودش اندر نهان,1.0
шастсола,شصت‌ساله,شست‌ساله,0.875
чу дидаш ҷаҳад дар қафош аз камин,چو دیدش جهد در قفاش از کمین,چو دیدش جهد در قفاش از کمین,1.0
ҳабаш,حبش,حبش,1.0
яккалаҷом,هلجامّیک,هلجامّیک,1.0
ҷуволдӯзӣ,جوال‌دوزی,جوال‌دوزی,1.0
хавфашон кай з-офтоби ҳақ бувад,خوفشان کی ز آفتاب حق بود,خوفشان کی ز آفتاب حق بود,1.0
ялонро ҳама рӯй шуд чун зарир,یلان را همه روی شد چون زریر,یلان را همه روی شد چون زریر,1.0
розиям бадбахт бошам лек бошам шоире,راضیم بدبخت باشم لیک باشم شاعری,راضیم بدبخت باشم لیک باشم شاعری,1.0
колаи пурсуди мусташриф чу дур,کالهٔ پر سود مستشرف چو در,کاله پرسود مستشرف چو در,0.9583333333333334
парчинкорӣ,پرچین‌کاری,پرچین‌کاری,1.0
ки хиромиданд ҷайши ғазвкӯш,که خرامیدند جیش غزوکوش,که خرامیدند جیش غزوکوش,1.0
удабо,ادبا,اودبا,0.8888888888888888
қавибол,قوی‌بال,قوی‌بال,1.0
ҳилаҳои тира андар доварӣ,حیله‌های تیره اندر داوری,حیله‌های تیره اندر داوری,1.0
чандасрина,چندعصرینه,چندسرینه,0.8235294117647058
чу бишнид дилхаста овози ӯй,چو بشنید دل خسته آواز او,چو بشنید دلخسته آواز او,0.9787234042553191
китобнома,کتاب‌نامه,کتاب‌نامه,1.0
ӯ ҳамедонист к-он к-ӯ одил аст,او همی دانست که آن کو عادلست,او همی‌دانست کان کو عادلست,0.8888888888888888
баҳсталаб,بحث‌طلب,به‌ستلب,0.5714285714285714
ҳодисийи абр чун донад ғуюс,حادثی ابر چون داند غیوث,هادثی ابر چون داند غیوس,0.9130434782608696
рӯҳи султонӣ зи зиндоне биҷаст,روح سلطانی ز زندانی بجست,روح سلطانی ز زندانی بجست,1.0
боқии аъзо зи фикр осудаанд,باقی اعضا ز فکر آسوده‌اند,باقی اعضا ز فکر آسوده‌اند,1.0
ҷазбкунанда,جذب‌کننده,جزب‌کننده,0.8888888888888888
чунки дар бозори атторон расид,چونک در بازار عطاران رسید,چونک در بازار عطاران رسید,1.0
намидан,نمیدن,نمیدن,1.0
бувад меҳ гуноҳе ки н-омад табоҳ,‌بود مه گناهی که نامد تباه,بود مه گناهی که نامد تباه,0.9803921568627451
дасту пояш монд аз рафтан ба роҳ,دست و پایش ماند از رفتن به راه,دست و پایش ماند از رفتن به راه,1.0
то сари ришта ба ман рӯйе намуд,تا سر رشته به من رویی نمود,تا سر رشته به من رویی نمود,1.0
рӯзи,روز,روز,1.0
ки суманзори ризо ошуфтааст,که سمن‌زار رضا آشفته است,که سوم زار رزا آشفته است,0.875
ин бор юшченку бо аксарияти шиканандаи,این بار یوشچنکو با اکثریت شکننده,این بار یوش چین‌کو با عکسریت شکننده,0.8955223880597015
шабрав,شب‌رو,شبرو,0.8888888888888888
ҳосид,حاسد,حاصد,0.75
қаламандоз,قلم‌انداز,قلم‌انداز,1.0
ту бад-он нодир куҷо афтодаӣ,تو بدان نادر کجا افتاده‌ای,تو بدان نادر کجا افتاده‌ای,1.0
кунҷковӣ,کنجکاوی,کنجکاوی,1.0
на қайсар бихоҳам на фағфури чин,نه قیصر بخواهم نه فغفور چین,نه قیسر بخواهم نه فغفور چین,0.962962962962963
додагӣ,داد‌گی,دادگی,0.9090909090909091
шаҳватӣ аст ӯву бас шаҳватпараст,شهوتی است او و بس شهوت‌پرست,شهوتی است او و بص شهوت‌پرست,0.962962962962963
хушахтарӣ,خوش‌اختری,خوش‌اختری,1.0
ҳунар ҳар чӣ з-ӯ дид яксар бигуфт,هنر هر چه زو دید یکسر بگفت,هنر هرچه زو دید یکسر بگفت,0.9803921568627451
калид,کلید,کلید,1.0
ҳар нафас оён равон дар карру фар,هر نفس آیان روان در کر و فر,هر نفس آیان روان در کر و فر,1.0
бадардхӯрд,بدرد‌خورد,بدر‌دخورد,0.8888888888888888
азобқашида,عذاب‌کشیده,ازاب‌کشیده,0.8
лек мехоҳӣ ки дар афъоли мо,لیک می‌خواهی که در افعال ما,لیک می‌خواهی که در افعال ما,1.0
ёқутфом,یاقوت‌فام,یاقوت‌فام,1.0
хурдсолӣ,خردسالی,خردسالی,1.0
гуфт зан ман ҳам мукаррар кардаам,گفت زن من هم مکرر کرده‌ام,گفت زن من هم مکرر کرده‌ام,1.0
чокчок,چاک‌چاک,چاک‌چاک,1.0
дар миёншон кӯҳи қоф ангехта,در میانشان کوه قاف انگیخته,در میانشان کوه قاف انگیخته,1.0
ҷавонона,جوانانه,جوانانه,1.0
гардогард,گرداگرد,گرد‌آگرد,0.8
рӯз мӯсо пеши ҳақ нолон шуда,روز موسی پیش حق نالان شده,روز موسی پیش حق نالان شده,1.0
в-он ҷамоат дар пайи ӯ дар қиём,و آن جماعت در پی او در قیام,و آنجماعت در پی او در قیام,0.9811320754716981
он ҳама ҳибру қалам фонӣ шавад,آن همه حبر و قلم فانی شود,آن همه حبر و قلم فانی شود,1.0
аз муроди дил ҷудотар мешавад,از مراد دل جداتر می‌شود,از مراد دل جداتر می‌شود,1.0
кашкоб,کش‌کاب,کش‌کاب,1.0
регистон,ریگستان,ریگ‌ستان,0.9333333333333333
саргоҳ,سر‌گاه,سرگاه,0.9090909090909091
ғӯтахӯрӣ,غوطه‌خوری,غوطه‌خوری,1.0
ай эс ай,آی اس آی,ایس ای,0.5714285714285714
боз бо худ гуфт сабр авлотар аст,باز با خود گفت صبر اولیترست,باز با خود‌گفت صبر اولاترست,0.9259259259259259
гаволидан,گوا‌لیدن,گوالی‌دن,0.875
аз худо уммед дорам ман лабиқ,از خدا اومید دارم من لبق,از خدا امید دارم من لبق,0.9787234042553191
вай афзуд ки ҳадафи барномаи ҳастаии ҷумҳурии исломӣ,وی افزود که هدف برنامه هسته‌ای جمهوری اسلامی,وی افزود که حدف برنامه هسته‌ای جمهوری اسلامی,0.9772727272727273
мӯҳра з-ӯ дорад вай аст устоди нард,مهره زو دارد ویست استاد نرد,مهره زو دارد وی استاد نرد,0.9615384615384616
ҳаме ганҷи ман ҳаст оганда пур,همی گنج من هست آکنده پر,همی گنج من هست آگنده پر,0.9565217391304348
бар асоси ин гузориш ҳилоли аҳмари либӣ дар баёнияе гуфтааст ки,براساس این گزارش هلال احمر لیبی در بیانیه‌ای گفته است که,براساس این گزارش حلال احمر لیبی در بیانیه‌ای گفته است که,0.9821428571428571
рӯ ба шаҳрӣ карду гуфт эй хоҷа ту,رو به شهری کرد و گفت‌ای خواجه تو,رو به شهری کرد و گفت‌ای خواجه تو,1.0
сахтдил,سخت‌دل,سخت‌دل,1.0
духтарамак,دخترعمک,دخترمک,0.9230769230769231
тундар миёни дашт ҳаме бод бардамад,تندر میان دشت همی باد بردمد,تنده رمیان دشت همی باد بردمد,0.9454545454545454
ба дониш парокан чу бипроканӣ,به دانش پراکن چو بپراکنی,به دانش پراکن چو بپراکنی,1.0
мафтункунанда,مفتون‌کننده,مفتون‌کننده,1.0
солеҳ,صالح,صالحح,0.8888888888888888
оҳансозӣ,آهن‌سازی,آهن‌سازی,1.0
в-аз эрониён зӣ вафо кас надид,وز ایرانیان جز وفا کس ندید,وز ایرانیان زی وفا کس ندید,0.9615384615384616
гӯӣ,گویی,گوئی,0.75
заминкушо,زمین‌کشا,زمین‌کشا,1.0
ҳайз,حیض,حیض,1.0
найчашиша,نیچه‌شیشه,نیچه‌ششه,0.9411764705882353
фиканданд беҷон-ш бар хок паст,فکندند بی‌جانش بر خاک پست,فکندند بیجانش بر خاک پست,0.9795918367346939
гургоштӣ,گرگ‌آشتی,گر‌گاشتی,0.75
паёмади шадиде,پیامدهای شدیدی,پیامد شدیدی,0.88
он дуъову он иҷобат аз худост,آن دعا و آن اجابت از خداست,آن دعا و آن اجابت از خداست,1.0
он савор онро бидиду мешитофт,آن سوار آن را بدید و می‌شتافت,آن سوار آن را بدید و می‌شتافت,1.0
газгӯштӣ,گز‌گوشتی,گز‌گوشتی,1.0
ғайримаъзур,غیر‌معذور,غیر‌معضور,0.8888888888888888
рушд дошт,رشد داشت,رشد داشت,1.0
ҳайати,هیات,هیت,0.8571428571428572
мурғу моҳӣ дар паноҳи адли туст,مرغ و ماهی در پناه عدل تست,مرغ و ماهی در پناه عدل تست,1.0
басе ҳадяҳо доду кард офарин,بسی هدیه‌ها داد و کرد آفرین,بسی هدیه‌ها داد و کرد آفرین,1.0
чиншинос,چین‌شناس,چین‌شناس,1.0
баъди нисфуллайл омад ёри ӯ,بعد نصف اللیل آمد یار او,بعد نسف اللیل آمد یار او,0.9583333333333334
бо ту андар хоб — дар шарҳи назар,با تو اندر خواب در شرح نظر,با تو اندر خواب در شرح نظر,1.0
гунҷула,گنج‌وله,گنجله,0.8333333333333334
ки озодаро коҳилӣ банда кард,که آزاده را کاهلی بنده کرد,که آزاده را کاهلی بنده کرد,1.0
фосиқӣ,فاسقی,فاصقی,0.8
в-ар намудӣ айбу каж кам бохтӣ,ور نمودی عیب و کژ کم باختی,ور نمودی عیب و کژ کم باختی,1.0
то ки аҷзи худ бибинем андар он,تا که عجز خود بینیم اندر آن,تا که عجز خود ببینیم اندر آن,0.9818181818181818
кола,کاله,کاله,1.0
камақлӣ,کم‌عقلی,کم‌عقلی,1.0
мӯҳриқ,محرق,مهرق,0.75
в-аз он зиндагӣ ком ҷӯяд ҳаме,و زان زندگی کام جوید همی,وزان زندگی کام جوید همی,0.9787234042553191
мекашад дониш ба биниш эй алим,می‌کشد دانش ببینش‌ای علیم,می‌کشد دانش به بنش‌ای علیم,0.9411764705882353
чун сабаб донӣ даво кардан ҷалист,چون سبب دانی دوا کردن جلیست,چون سبب دانی دوا کردن جلیست,1.0
бар он сон ки хезад зи дарё бухор,بر آن سان که خیزد ز دریا بخار,بر آنسان که خیزد ز دریا بخار,0.9824561403508771
хешбин чун аз касе ҷурме бидид,خویش‌بین چون از کسی جرمی بدید,خویش‌بین چون از کسی جرمی بدید,1.0
покбозӣ,پاک‌بازی,پاک‌بازی,1.0
фароғатбахш,فراغت‌بخش,فراغت‌بخش,1.0
вовайло,و‌اویلا,وا‌ویلا,0.8571428571428572
ман наёрам рӯ зи фармон тофтан,من نیارم رو ز فرمان تافتن,من نیارم رو ز فرمان تافتن,1.0
бун,بن,بون,0.8
каламфарсоӣ,قلم‌فرسایی,کلم‌فرسایی,0.9
он ҳалила в-он балила кӯфтан,آن هلیله و آن بلیله کوفتن,آن هلیله و آن بلیله کوفتن,1.0
набӣ,نبی,نبی,1.0
хушк,خشک,خشک,1.0
бадгирӣ,بد‌گیری,بد‌گیری,1.0
ҳаст ҷабрӣ будан ин ҷо тамъи хом,هست جبری بودن اینجا طمع خام,هست جبری بدن اینجا طمع خام,0.9811320754716981
ҷамъияти ин кишвар камтар аз ним миллиюн нафар аст,جمعیت این کشور کمتر از نیم میلیون نفر است,جمعیت این کشور کمتر از نیم ملیون نفر است,0.9876543209876543
дарун - андар оганда мӯи самур,درون وی آگنده موی سمور,درون اندر آگنده موی سمور,0.8695652173913043
коса бар косасту нон бар нон мудом,کاسه بر کاسه‌ست و نان بر نان مدام,کاسه بر کاسست و نان بر نان مدام,0.96875
